,date,open,high,low,close,volume
0,2010-01-04,41.79,42.99,41.67,42.85,35.470532
1,2010-01-05,42.79,43.84,42.78,43.68,41.208874
2,2010-01-06,43.45,44.09,43.31,43.92,27.733528
3,2010-01-07,43.79,45.12,43.61,44.79,44.86704
4,2010-01-08,44.37,44.7,44.08,44.68,33.113414
5,2010-01-11,45.12,45.19,44.31,44.53,31.893885
6,2010-01-12,43.99,44.15,42.94,43.49,47.132154
7,2010-01-13,43.55,44.53,42.87,44.25,39.625442
8,2010-01-14,44.2,44.79,44.1,44.69,38.015736
9,2010-01-15,44.3,44.43,43.34,43.68,69.755789
10,2010-01-19,43.4,43.75,42.9,43.28,41.756708
11,2010-01-20,43.01,43.68,42.71,43.4,39.945444
12,2010-01-21,43.04,43.15,40.32,40.54,137.552326
13,2010-01-22,40.65,41.195,38.82,39.16,106.647164
14,2010-01-25,39.76,39.89,38.8405,39.21,56.540799
15,2010-01-26,39.0,39.835,38.28,38.44,52.981783
16,2010-01-27,38.35,39.49,38.07,39.33,66.331257
17,2010-01-28,39.68,40.04,38.72,39.48,65.078077
18,2010-01-29,39.65,39.85,38.8,38.94,53.682421
19,2010-02-01,39.1,39.93,38.95,39.63,37.428817
20,2010-02-02,39.8,40.68,39.7,40.55,46.022496
21,2010-02-03,40.58,41.1,40.17,40.29,37.392107
22,2010-02-04,39.79,39.92,38.35,38.35,57.222445
23,2010-02-05,38.64,38.88,37.025,38.3,75.228099
24,2010-02-08,38.29,38.29,37.32,37.7,58.305552
25,2010-02-09,38.19,38.7,37.8399,38.39,45.183809
26,2010-02-10,38.64,39.5,38.52,38.87,39.333651
27,2010-02-11,38.84,39.37,38.36,39.02,33.849315
28,2010-02-12,38.67,39.18,38.36,38.95,38.0595
29,2010-02-16,39.33,40.14,38.75,40.07,46.430544
30,2010-02-17,40.26,40.45,39.76,40.04,34.653461
31,2010-02-18,39.94,40.51,39.77,40.41,31.827994
32,2010-02-19,40.11,40.7,39.9,40.03,40.299401
33,2010-02-22,40.4,41.3,40.25,40.85,43.909444
34,2010-02-23,40.9,41.25,39.76,39.88,52.233571
35,2010-02-24,40.05,40.97,40.0,40.85,44.657029
36,2010-02-25,40.16,40.69,39.7,40.64,46.740607
37,2010-02-26,40.69,42.305,40.6,41.97,67.705024
38,2010-03-01,42.03,42.18,41.41,41.83,34.62339
39,2010-03-02,41.98,42.4,41.42,41.62,33.912728
40,2010-03-03,41.65,42.06,41.34,41.53,27.566204
41,2010-03-04,41.91,42.08,41.66,41.92,25.465211
42,2010-03-05,42.32,42.87,42.19,42.81,34.798241
43,2010-03-08,42.85,43.03,42.47,42.59,28.522297
44,2010-03-09,42.39,42.82,42.05,42.42,37.109261
45,2010-03-10,42.87,43.49,42.81,42.93,40.919545
46,2010-03-11,42.91,43.2,42.8,43.18,30.139659
47,2010-03-12,43.34,43.54,42.85,43.15,31.38051
48,2010-03-15,42.92,43.21,42.6,43.07,29.151049
49,2010-03-16,43.35,43.38,42.69,43.24,28.55957
50,2010-03-17,43.31,44.11,43.265,43.79,32.927967
51,2010-03-18,43.75,43.79,43.15,43.64,26.015546
52,2010-03-19,43.72,43.89,43.13,43.45,37.025157
53,2010-03-22,43.07,43.79,43.04,43.74,23.265848
54,2010-03-23,43.85,44.74,43.78,44.58,33.742827
55,2010-03-24,44.44,44.97,44.2,44.94,36.063449
56,2010-03-25,44.98,46.05,44.89,44.94,45.034273
57,2010-03-26,45.04,45.89,44.795,45.02,39.737365
58,2010-03-29,45.25,45.38,44.46,44.86,30.642414
59,2010-03-30,44.9,45.05,44.3575,44.58,30.310161
60,2010-03-31,44.31,45.0,44.25,44.75,39.050537
61,2010-04-01,45.03,45.31,44.99,45.18,23.908516
62,2010-04-05,45.28,45.4,44.79,45.34,21.365413
63,2010-04-06,45.23,45.94,45.15,45.84,28.146502
64,2010-04-07,45.83,46.0467,45.02,45.32,28.898451
65,2010-04-08,45.16,45.97,44.81,45.76,28.878999
66,2010-04-09,45.88,46.22,45.45,45.98,22.897447
67,2010-04-12,46.03,46.47,45.9,46.14,24.654577
68,2010-04-13,46.04,46.38,45.85,45.87,28.003342
69,2010-04-14,47.4,47.93,46.78,47.73,72.556285
70,2010-04-15,47.65,48.2,47.49,47.81,45.442115
71,2010-04-16,47.67,47.75,45.14,45.55,120.317455
72,2010-04-19,45.23,45.7,44.59,45.39,72.139768
73,2010-04-20,45.77,46.15,45.56,45.88,39.326855
74,2010-04-21,46.04,46.39,45.0,45.35,46.332104
75,2010-04-22,44.91,45.1225,44.03,44.74,63.166067
76,2010-04-23,44.73,45.07,44.25,44.94,32.492066
77,2010-04-26,44.78,44.81,43.73,43.89,42.893272
78,2010-04-27,43.48,44.37,42.3,42.41,66.32218
79,2010-04-28,42.84,43.7099,42.78,43.46,48.592208
80,2010-04-29,43.89,44.33,43.595,44.0,36.523914
81,2010-04-30,44.02,44.05,42.23,42.58,54.131594
82,2010-05-03,42.97,43.73,42.89,43.53,31.238106
83,2010-05-04,42.97,43.36,42.25,42.47,49.000919
84,2010-05-05,42.11,43.37,41.62,42.63,43.078322
85,2010-05-06,42.63,42.78,39.29,40.81,78.234322
86,2010-05-07,41.03,41.84,39.78,40.76,72.99315
87,2010-05-10,42.32,43.3,41.42,41.95,66.561104
88,2010-05-11,41.46,42.55,41.15,41.55,50.789624
89,2010-05-12,41.74,41.79,40.81,41.69,47.705661
90,2010-05-13,41.44,41.6,40.78,40.81,34.810118
91,2010-05-14,40.1,40.1,39.21,39.89,60.738982
92,2010-05-17,39.93,40.04,38.77,39.84,56.51616
93,2010-05-18,40.62,40.62,38.55,39.02,61.755826
94,2010-05-19,38.54,39.66,38.52,39.38,64.607267
95,2010-05-20,38.55,39.25,37.31,37.83,76.572372
96,2010-05-21,37.02,40.16,37.02,40.05,89.621724
97,2010-05-24,40.16,40.25,38.5,38.62,49.248135
98,2010-05-25,37.67,39.01,37.35,38.94,66.833252
99,2010-05-26,39.19,39.5,38.47,38.78,50.644603
100,2010-05-27,39.58,40.49,39.4,40.42,44.767129
101,2010-05-28,40.33,40.35,39.36,39.58,41.25561
102,2010-06-01,39.32,39.96,38.5,38.54,37.85319
103,2010-06-02,39.17,39.62,38.67,39.55,39.621903
104,2010-06-03,39.86,39.94,38.62,39.1,30.965313
105,2010-06-04,38.49,38.7,37.5,37.62,52.877819
106,2010-06-07,37.79,38.13,36.66,36.72,44.548629
107,2010-06-08,36.86,37.8,36.55,37.78,51.032734
108,2010-06-09,38.15,38.16,37.01,37.12,42.600597
109,2010-06-10,37.68,38.37,37.41,38.29,44.305051
110,2010-06-11,37.79,38.17,37.52,38.09,31.151678
111,2010-06-14,37.97,38.27,37.23,37.33,48.676801
112,2010-06-15,37.55,38.275,37.26,38.25,45.367167
113,2010-06-16,38.02,38.88,37.99,38.52,37.223137
114,2010-06-17,38.6,38.9,37.92,38.44,34.687325
115,2010-06-18,38.6,39.27,38.38,39.18,37.273755
116,2010-06-21,39.55,39.78,38.66,38.87,33.67234
117,2010-06-22,38.93,39.58,38.22,38.33,42.257192
118,2010-06-23,38.29,39.1083,38.02,38.89,45.049323
119,2010-06-24,38.55,38.7,37.42,38.03,73.855186
120,2010-06-25,38.78,39.6,38.275,39.44,70.747931
121,2010-06-28,39.55,39.64,38.47,38.54,39.974297
122,2010-06-29,37.91,37.91,36.88,37.06,56.711775
123,2010-06-30,37.02,37.49,36.51,36.61,35.340118
124,2010-07-01,36.54,36.69,35.16,36.08,56.649693
125,2010-07-02,36.31,36.69,35.3399,35.83,36.820315
126,2010-07-06,36.69,36.885,35.86,36.33,35.95814
127,2010-07-07,36.64,38.24,36.41,38.15,44.615654
128,2010-07-08,38.78,38.82,37.15,38.16,41.508565
129,2010-07-09,37.75,38.89,37.68,38.85,30.433557
130,2010-07-12,38.86,39.34,38.6,39.19,25.004004
131,2010-07-13,39.81,40.69,39.74,40.48,48.577549
132,2010-07-14,40.15,40.38,39.84,40.35,37.330863
133,2010-07-15,40.72,40.84,39.31,40.46,81.890865
134,2010-07-16,40.28,40.35,38.86,39.0,58.51609
135,2010-07-19,39.03,39.36,38.12,39.04,35.409277
136,2010-07-20,38.32,39.64,38.28,39.63,43.541982
137,2010-07-21,40.25,40.25,38.34,38.42,41.120928
138,2010-07-22,38.96,39.6,38.73,39.35,35.500622
139,2010-07-23,39.17,39.96,38.97,39.83,28.244882
140,2010-07-26,39.8,40.36,39.5,40.33,27.211006
141,2010-07-27,40.74,41.24,40.61,40.69,44.898069
142,2010-07-28,40.44,40.9,40.15,40.32,23.949808
143,2010-07-29,40.71,40.83,39.91,40.21,29.014206
144,2010-07-30,39.72,40.69,39.72,40.28,26.450008
145,2010-08-02,40.98,41.7,40.73,41.64,35.578512
146,2010-08-03,41.5,41.65,40.87,41.08,29.969617
147,2010-08-04,41.22,41.405,40.86,41.29,23.083757
148,2010-08-05,40.97,41.43,40.94,41.27,19.834689
149,2010-08-06,40.74,40.95,39.97,40.44,34.915175
150,2010-08-09,40.55,40.5582,39.66,39.82,37.809688
151,2010-08-10,39.67,39.73,39.16,39.17,34.177382
152,2010-08-11,38.65,38.78,37.75,37.77,46.22228
153,2010-08-12,37.36,37.991,37.22,37.81,35.392143
154,2010-08-13,37.8,38.04,37.5,37.5,24.570757
155,2010-08-16,37.32,37.82,37.28,37.69,28.335379
156,2010-08-17,37.97,38.07,37.4,37.48,33.898061
157,2010-08-18,37.39,38.19,37.39,37.89,27.065544
158,2010-08-19,37.66,37.97,37.0,37.07,35.389947
159,2010-08-20,37.11,37.36,36.81,37.14,30.903812
160,2010-08-23,37.21,37.41,36.84,36.88,29.286873
161,2010-08-24,36.59,36.695,35.92,36.21,48.729296
162,2010-08-25,35.95,36.44,35.67,36.23,36.06685
