,date,open,high,low,close,volume
0,2010-01-04,11.4,11.46,11.09,11.18,9.626544
1,2010-01-05,11.25,11.79,11.2,11.77,13.358244
2,2010-01-06,11.76,11.79,11.38,11.42,10.524417
3,2010-01-07,11.39,11.74,11.27,11.59,10.055363
4,2010-01-08,11.54,11.64,11.23,11.33,7.896565
5,2010-01-11,11.35,11.57,11.23,11.46,5.989126
6,2010-01-12,11.37,11.58,11.26,11.33,6.163414
7,2010-01-13,11.32,11.645,11.26,11.53,5.798951
8,2010-01-14,11.5,11.59,11.365,11.46,4.768885
9,2010-01-15,11.49,11.54,11.2,11.28,6.297587
10,2010-01-19,11.26,11.495,11.21,11.3,6.706676
11,2010-01-20,11.24,11.38,10.91,11.33,12.869515
12,2010-01-21,11.51,11.76,11.12,11.68,23.732751
13,2010-01-22,11.78,11.97,11.53,11.68,14.31098
14,2010-01-25,11.63,11.94,11.15,11.32,15.230786
15,2010-01-26,11.18,11.95,11.1,11.61,12.29546
16,2010-01-27,11.6,11.6,10.98,11.39,14.415259
17,2010-01-28,11.46,11.74,11.36,11.45,12.267793
18,2010-01-29,11.49,11.75,11.3,11.33,10.969721
19,2010-02-01,11.37,11.64,11.305,11.57,7.693919
20,2010-02-02,11.62,11.74,11.46,11.55,11.324746
21,2010-02-03,11.51,11.63,11.39,11.47,8.36386
22,2010-02-04,11.38,11.53,11.03,11.03,12.613742
23,2010-02-05,11.04,11.34,11.02,11.29,12.136705
24,2010-02-08,11.31,11.39,11.1,11.25,7.991734
25,2010-02-09,11.35,11.85,11.35,11.65,13.601467
26,2010-02-10,11.61,11.77,11.365,11.54,11.551135
27,2010-02-11,11.51,12.0,11.51,11.88,14.929528
28,2010-02-12,11.89,12.04,11.81,12.04,13.843339
29,2010-02-16,12.1,12.45,12.02,12.45,10.681755
30,2010-02-17,12.45,12.4501,12.07,12.29,8.076487
31,2010-02-18,12.3,12.49,12.29,12.44,9.947068
32,2010-02-19,12.38,12.69,12.34,12.43,11.230385
33,2010-02-22,12.45,12.73,12.45,12.5,10.158643
34,2010-02-23,12.51,12.61,12.34,12.4,11.995475
35,2010-02-24,12.42,12.62,12.34,12.44,11.233139
36,2010-02-25,12.37,12.5,12.2,12.43,6.480375
37,2010-02-26,12.4,12.7,12.4,12.58,7.986512
38,2010-03-01,12.59,12.89,12.59,12.71,10.942956
39,2010-03-02,12.81,12.85,12.62,12.63,8.713818
40,2010-03-03,12.66,12.74,12.55,12.55,9.704056
41,2010-03-04,12.6,12.69,12.5395,12.6,9.862344
42,2010-03-05,12.61,12.75,12.55,12.68,10.029193
43,2010-03-08,12.68,12.84,12.5,12.55,9.750979
44,2010-03-09,12.6,12.8507,12.55,12.68,12.232383
45,2010-03-10,12.7,13.08,12.66,12.82,11.040546
46,2010-03-11,12.75,12.94,12.66,12.84,8.71171
47,2010-03-12,12.88,13.06,12.76,13.0,9.521525
48,2010-03-15,12.99,13.08,12.77,13.0,10.013046
49,2010-03-16,13.01,13.34,13.01,13.18,9.231201
50,2010-03-17,13.18,13.25,12.96,13.03,7.23873
51,2010-03-18,13.02,13.28,13.02,13.06,7.054431
52,2010-03-19,13.09,13.21,12.73,12.81,10.413385
53,2010-03-22,12.75,13.06,12.71,12.93,7.063177
54,2010-03-23,12.96,13.08,12.8,13.03,6.045861
55,2010-03-24,13.03,13.1,12.84,13.0,5.79704
56,2010-03-25,13.05,13.3,13.03,13.07,6.792932
57,2010-03-26,13.08,13.22,12.84,13.05,9.137676
58,2010-03-29,13.11,13.26,13.09,13.18,7.171837
59,2010-03-30,13.22,13.26,12.92,13.09,5.800862
60,2010-03-31,13.06,13.42,13.06,13.22,8.113874
61,2010-04-01,13.37,13.43,13.1,13.21,7.827379
62,2010-04-05,13.28,13.37,13.08,13.16,7.987733
63,2010-04-06,13.11,13.45,13.1,13.45,9.833864
64,2010-04-07,13.41,13.47,13.18,13.3,14.909755
65,2010-04-08,13.43,13.55,13.37,13.4,10.386323
66,2010-04-09,13.44,13.44,13.21,13.3,10.549492
67,2010-04-12,13.34,13.48,13.26,13.35,8.588848
68,2010-04-13,13.38,13.43,13.14,13.34,6.901548
69,2010-04-14,13.32,13.58,13.3,13.5,7.697722
70,2010-04-15,13.43,13.56,13.36,13.54,9.575539
71,2010-04-16,13.5,13.53,13.21,13.38,9.00891
72,2010-04-19,13.58,13.95,13.5,13.75,15.932237
73,2010-04-20,13.82,13.95,13.5,13.74,10.4367
74,2010-04-21,13.82,13.82,13.4,13.58,10.542737
75,2010-04-22,13.56,13.68,13.221,13.44,11.904179
76,2010-04-23,13.48,13.97,13.45,13.96,9.829222
77,2010-04-26,13.89,13.97,13.53,13.57,14.982311
78,2010-04-27,13.6,13.61,13.14,13.18,13.684671
79,2010-04-28,13.28,13.38,13.12,13.23,10.959709
80,2010-04-29,13.35,13.59,13.3179,13.42,10.698347
81,2010-04-30,13.45,13.49,13.17,13.18,9.390949
82,2010-05-03,13.32,13.45,13.2,13.4,12.617779
83,2010-05-04,13.27,13.31,12.87,13.01,10.093938
84,2010-05-05,12.97,13.4,12.81,13.03,15.075854
85,2010-05-06,13.23,13.23,11.9,12.58,15.625323
86,2010-05-07,12.57,12.98,12.3,12.39,16.304996
87,2010-05-10,12.83,12.97,12.75,12.96,8.190054
88,2010-05-11,12.82,12.92,12.57,12.86,9.92145
89,2010-05-12,12.88,13.18,12.86,13.14,9.009445
90,2010-05-13,13.13,13.35,12.86,12.89,8.130651
91,2010-05-14,12.88,12.935,12.63,12.78,8.656525
92,2010-05-17,12.81,12.98,12.59,12.89,8.054874
93,2010-05-18,12.97,13.03,12.61,12.64,8.65748
94,2010-05-19,12.58,12.62,12.14,12.28,13.406369
95,2010-05-20,12.04,12.1,11.67,11.67,11.535316
96,2010-05-21,11.5,11.96,11.36,11.91,10.379546
97,2010-05-24,11.87,12.035,11.81,11.85,6.803358
98,2010-05-25,11.54,12.16,11.45,12.16,14.018358
