,date,open,high,low,close,volume
0,2010-01-04,30.62,31.1,30.59,30.95,38.414185
1,2010-01-05,30.85,31.1,30.64,30.96,49.758862
2,2010-01-06,30.88,31.08,30.52,30.77,58.182332
3,2010-01-07,30.63,30.7,30.19,30.452,50.564285
4,2010-01-08,30.28,30.88,30.24,30.66,51.201289
5,2010-01-11,30.71,30.76,30.12,30.27,68.753898
6,2010-01-12,30.15,30.4,29.91,30.07,65.913228
7,2010-01-13,30.26,30.52,30.01,30.35,51.861898
8,2010-01-14,30.31,31.1,30.26,30.96,63.241867
9,2010-01-15,31.08,31.24,30.71,30.86,79.907155
10,2010-01-19,30.75,31.24,30.68,31.1,46.582886
11,2010-01-20,30.81,30.94,30.31,30.585,54.807712
12,2010-01-21,30.61,30.72,30.0,30.01,73.082101
13,2010-01-22,30.0,30.2,28.84,28.96,101.988382
14,2010-01-25,29.24,29.66,29.1,29.32,63.380973
15,2010-01-26,29.2,29.85,29.09,29.5,66.644276
16,2010-01-27,29.35,29.82,29.02,29.67,63.933712
17,2010-01-28,29.84,29.87,28.89,29.16,117.502825
18,2010-01-29,29.9,29.92,27.66,28.18,193.886124
19,2010-02-01,28.39,28.48,27.92,28.41,85.927393
20,2010-02-02,28.37,28.5,28.14,28.46,54.381154
21,2010-02-03,28.26,28.79,28.12,28.63,61.397249
22,2010-02-04,28.38,28.5,27.81,27.84,77.835668
23,2010-02-05,28.0,28.28,27.57,28.02,80.955948
24,2010-02-08,28.01,28.08,27.57,27.72,52.816978
25,2010-02-09,27.97,28.34,27.75,28.01,59.155882
26,2010-02-10,28.03,28.24,27.84,27.99,48.538209
27,2010-02-11,27.93,28.4,27.7,28.12,65.979653
28,2010-02-12,27.81,28.06,27.58,27.93,81.043477
29,2010-02-16,28.13,28.37,28.02,28.35,51.914366
30,2010-02-17,28.53,28.65,28.36,28.59,45.870142
31,2010-02-18,28.59,29.03,28.51,28.969,42.854001
32,2010-02-19,28.79,28.92,28.69,28.77,44.452682
33,2010-02-22,28.84,28.94,28.65,28.73,36.700418
34,2010-02-23,28.68,28.83,28.09,28.33,52.20493
35,2010-02-24,28.52,28.79,28.38,28.63,43.143034
36,2010-02-25,28.27,28.65,28.02,28.6,48.667335
37,2010-02-26,28.65,28.85,28.51,28.67,40.346732
38,2010-03-01,28.77,29.05,28.53,29.02,43.780279
39,2010-03-02,29.08,29.3,28.24,28.46,93.127438
40,2010-03-03,28.51,28.61,28.35,28.46,48.442081
41,2010-03-04,28.46,28.65,28.27,28.63,42.876229
42,2010-03-05,28.66,28.68,28.42,28.5875,56.003054
