,date,open,high,low,close,volume
0,2010-01-04,61.19,61.52,60.64,61.24,6.589106
1,2010-01-05,61.0,62.1,60.9,61.98,8.869916
2,2010-01-06,61.99,62.47,61.23,61.36,10.000915
3,2010-01-07,61.35,61.38,60.53,60.97,10.793597
4,2010-01-08,60.76,60.82,60.27,60.77,8.675842
5,2010-01-11,60.68,60.81,60.1,60.7,6.465407
6,2010-01-12,60.52,61.68,60.5,61.55,9.082483
7,2010-01-13,61.41,62.34,61.41,62.05,7.381629
8,2010-01-14,62.02,62.92,61.76,62.8,7.212539
9,2010-01-15,62.61,62.91,61.82,62.29,8.361718
10,2010-01-19,62.23,62.41,61.97,62.33,5.616865
11,2010-01-20,62.09,62.15,61.44,61.95,5.60683
12,2010-01-21,62.01,62.16,60.74,60.94,7.123513
13,2010-01-22,60.75,61.24,60.31,60.39,7.084952
14,2010-01-25,60.7,60.7,60.08,60.23,4.906907
15,2010-01-26,60.1,60.53,59.82,60.25,4.992773
16,2010-01-27,60.05,60.39,59.6,60.29,6.147404
17,2010-01-28,60.3,60.5,59.5,59.74,9.293598
18,2010-01-29,59.84,60.36,59.12,59.62,8.128457
19,2010-02-01,59.93,60.75,59.52,60.7,7.304974
20,2010-02-02,60.68,61.28,60.34,61.15,6.307782
21,2010-02-03,60.92,61.4,60.56,61.29,4.863783
22,2010-02-04,60.83,60.93,59.62,59.64,6.921918
23,2010-02-05,59.51,59.79,58.95,59.51,7.348808
24,2010-02-08,59.6,59.66,58.75,58.96,7.03434
25,2010-02-09,59.29,60.48,59.29,60.05,7.944933
26,2010-02-10,59.96,60.67,59.51,60.38,10.920826
27,2010-02-11,60.87,61.7,60.5,61.19,14.393149
28,2010-02-12,61.06,61.22,60.49,60.92,8.567997
29,2010-02-16,61.03,61.45,60.5,61.31,6.933036
30,2010-02-17,61.48,62.2,61.25,62.11,6.706277
31,2010-02-18,61.97,62.72,61.97,62.53,6.943996
32,2010-02-19,62.32,62.915,61.98,62.66,6.417428
33,2010-02-22,62.69,62.87,62.1,62.41,4.710327
34,2010-02-23,62.22,62.48,61.7,61.78,5.159994
35,2010-02-24,61.98,62.16,61.58,62.08,6.888503
36,2010-02-25,61.51,62.34,61.02,62.3,8.075331
37,2010-02-26,62.5,62.59,61.91,62.47,14.787996
38,2010-03-01,62.65,63.58,62.57,63.43,9.017589
39,2010-03-02,63.61,64.0,63.42,63.8,9.528401
40,2010-03-03,63.82,64.27,63.8,63.98,8.493442
41,2010-03-04,64.43,64.5,63.96,64.11,7.832822
42,2010-03-05,64.3,64.48,63.91,64.37,8.449824
43,2010-03-08,64.27,64.46,63.8,64.15,5.087388
44,2010-03-09,63.88,64.65,63.8,64.36,7.620317
45,2010-03-10,64.3,64.59,64.01,64.43,6.450708
46,2010-03-11,64.2,65.0,63.9,64.97,7.53856
47,2010-03-12,64.92,65.25,64.68,65.1,6.897521
48,2010-03-15,65.69,66.26,65.4,66.15,10.471626
49,2010-03-16,66.25,66.3,65.8299,66.07,7.476094
50,2010-03-17,66.15,66.58,66.02,66.57,6.939954
51,2010-03-18,66.57,66.73,66.16,66.52,6.963985
52,2010-03-19,66.96,66.98,66.26,66.56,10.749037
53,2010-03-22,66.43,66.56,66.15,66.31,6.763719
54,2010-03-23,66.39,67.0,66.24,66.86,6.418769
55,2010-03-24,66.62,67.0,66.25,66.26,7.663114
56,2010-03-25,66.37,67.0,66.35,66.55,6.247371
