,date,open,high,low,close,volume
0,2010-01-04,30.49,30.6429,30.34,30.5729,123.42995
1,2010-01-05,30.6571,30.7986,30.4643,30.6257,150.475304
2,2010-01-06,30.6257,30.7471,30.1071,30.1386,138.039594
3,2010-01-07,30.25,30.2857,29.8643,30.0829,119.282324
4,2010-01-08,30.0429,30.2857,29.8657,30.2829,111.968031
5,2010-01-11,30.4,30.4286,29.7786,30.0157,115.557365
6,2010-01-12,29.8843,29.9671,29.4886,29.6743,148.614774
7,2010-01-13,29.6957,30.1329,29.1571,30.0929,151.172035
8,2010-01-14,30.0157,30.0657,29.86,29.9186,107.778811
9,2010-01-15,30.1329,30.2286,29.41,29.4186,148.577968
10,2010-01-19,29.7614,30.7414,29.6057,30.72,182.50092
11,2010-01-20,30.7014,30.7929,29.9286,30.2464,153.037892
12,2010-01-21,30.2971,30.4734,29.6014,29.7246,152.023165
13,2010-01-22,29.54,29.6429,28.1657,28.25,220.438554
14,2010-01-25,28.93,29.2429,28.5986,29.0107,266.387471
15,2010-01-26,29.4214,30.53,28.94,29.42,466.767686
16,2010-01-27,29.55,30.0829,28.5044,29.6977,430.63153
17,2010-01-28,29.2757,29.3571,28.3857,28.47,293.366066
18,2010-01-29,28.7257,28.8857,27.1786,27.4376,311.482185
19,2010-02-01,27.4814,28,27.3286,27.8186,187.457977
20,2010-02-02,27.9871,28.0457,27.6257,27.98,174.584613
21,2010-02-03,27.8814,28.6,27.7743,28.4614,153.831769
22,2010-02-04,28.1043,28.3386,27.3671,27.4357,189.395962
23,2010-02-05,27.5179,28,27.2643,27.9229,212.56011
24,2010-02-08,27.9557,28.2686,27.7143,27.7314,119.546819
25,2010-02-09,28.06,28.2143,27.8214,28.0271,158.190067
26,2010-02-10,27.9843,28.0857,27.7514,27.8737,92.503985
27,2010-02-11,27.84,28.5357,27.7229,28.3814,137.514433
28,2010-02-12,28.3014,28.8057,27.9286,28.6257,163.788898
29,2010-02-16,28.8486,29.0986,28.7886,29.0571,135.959061
30,2010-02-17,29.17,29.1871,28.6943,28.9357,109.08891
31,2010-02-18,28.8043,29.1271,28.7029,28.9897,105.594559
32,2010-02-19,28.8371,29.0286,28.73,28.81,103.931366
33,2010-02-22,28.9057,28.9286,28.4557,28.6309,97.680772
34,2010-02-23,28.5714,28.7614,27.9586,28.1513,143.824191
35,2010-02-24,28.3186,28.7771,28.2629,28.65,115.095946
36,2010-02-25,28.1971,28.98,28.1271,28.8571,166.289578
37,2010-02-26,28.9114,29.31,28.8571,29.2314,126.816389
38,2010-03-01,29.3929,29.9286,29.35,29.8557,137.5108
39,2010-03-02,29.99,30.1186,29.6771,29.8357,141.634052
40,2010-03-03,29.8486,29.9814,29.7057,29.9043,93.059694
41,2010-03-04,29.8971,30.1314,29.8043,30.1014,91.502376
42,2010-03-05,30.7057,31.3857,30.6614,31.2786,224.891149
43,2010-03-08,31.43,31.4414,31.1786,31.2971,107.470839
44,2010-03-09,31.1871,32.1429,31.1271,31.86,230.03603
45,2010-03-10,31.9756,32.2114,31.8857,32.12,149.045043
46,2010-03-11,31.9871,32.2143,31.9029,32.2143,101.422538
47,2010-03-12,32.4814,32.5329,32.25,32.3714,104.023969
48,2010-03-15,32.1971,32.2143,31.4643,31.9771,123.375091
49,2010-03-16,32.0257,32.14,31.7871,32.0643,111.726636
50,2010-03-17,32.1286,32.35,31.8957,32.0171,112.738297
51,2010-03-18,32.0143,32.1429,31.8014,32.0929,85.527113
52,2010-03-19,32.1129,32.1771,31.6043,31.75,139.861148
53,2010-03-22,31.4957,32.2857,31.45,32.1071,114.104634
54,2010-03-23,32.2343,32.6829,32.0143,32.6229,150.604643
55,2010-03-24,32.52,32.8857,32.5014,32.7671,149.570232
56,2010-03-25,32.9886,32.9957,32.3214,32.3786,135.816674
57,2010-03-26,32.7071,33.1357,32.65,32.9857,160.218135
58,2010-03-29,33.2857,33.41,33.0886,33.1986,135.181935
59,2010-03-30,33.8004,33.9257,33.4643,33.6921,131.827325
60,2010-03-31,33.6414,33.8014,33.4943,33.5714,90.337492
61,2010-04-01,33.9271,34.1043,33.25,33.71,150.785999
62,2010-04-05,33.5679,34.0729,33.5386,34.07,171.119669
