,date,open,high,low,close,volume
0,2010-01-04,15.24,15.75,15.12,15.69,180.935922
1,2010-01-05,15.74,16.21,15.7,16.2,209.572529
2,2010-01-06,16.21,16.54,16.03,16.39,205.326688
3,2010-01-07,16.68,17.185,16.51,16.93,320.366094
4,2010-01-08,16.98,17.1,16.63,16.78,220.203774
5,2010-01-11,16.99,17.14,16.72,16.93,169.121447
6,2010-01-12,16.72,16.75,16.17,16.36,223.523994
7,2010-01-13,16.43,16.78,16.15,16.62,192.646873
8,2010-01-14,16.63,16.92,16.605,16.82,142.960197
9,2010-01-15,16.64,16.65,16.23,16.26,195.304729
10,2010-01-19,16.06,16.47,15.84,16.32,181.670527
11,2010-01-20,16.22,16.63,16.18,16.49,288.765414
12,2010-01-21,16.46,16.66,15.2,15.47,551.279757
13,2010-01-22,15.26,15.52,14.71,14.9,369.749094
14,2010-01-25,15.16,15.27,14.77,14.98,262.471036
15,2010-01-26,14.94,15.17,14.72,14.77,212.449083
16,2010-01-27,14.71,15.29,14.68,15.19,258.756568
17,2010-01-28,15.4,15.59,15.01,15.37,232.974961
18,2010-01-29,15.49,15.55,15.09,15.18,175.159547
19,2010-02-01,15.26,15.44,15.13,15.42,159.524179
20,2010-02-02,15.45,15.68,15.31,15.6,171.585659
21,2010-02-03,15.57,15.8,15.52,15.53,130.894378
22,2010-02-04,15.35,15.43,14.73,14.75,252.601293
23,2010-02-05,14.84,15.06,14.31,15.0,297.699924
24,2010-02-08,14.94,14.96,14.45,14.48,208.268418
25,2010-02-09,14.67,14.78,14.25,14.47,251.578504
26,2010-02-10,14.51,14.91,14.46,14.67,175.757302
27,2010-02-11,14.67,14.8,14.54,14.63,141.121093
28,2010-02-12,14.47,14.54,14.28,14.45,162.849005
29,2010-02-16,14.66,15.31,14.62,15.16,205.521295
30,2010-02-17,15.35,15.88,15.25,15.66,261.560672
31,2010-02-18,15.52,16.0,15.5,15.88,242.176364
32,2010-02-19,15.73,16.04,15.71,15.88,216.235989
33,2010-02-22,15.96,16.4,15.96,16.21,173.833893
34,2010-02-23,16.12,16.38,15.79,15.94,210.49265
35,2010-02-24,15.98,16.36,15.96,16.33,191.587081
36,2010-02-25,16.05,16.57,15.95,16.55,287.395355
37,2010-02-26,16.57,16.84,16.41,16.66,343.763963
38,2010-03-01,16.74,16.86,16.57,16.71,171.12103
39,2010-03-02,16.7,16.8,16.39,16.46,183.107739
40,2010-03-03,16.47,16.62,16.33,16.37,154.96791
41,2010-03-04,16.45,16.5,16.03,16.4,157.800711
42,2010-03-05,16.52,16.75,16.45,16.7,172.526092
43,2010-03-08,16.75,16.91,16.69,16.74,127.765602
44,2010-03-09,16.63,16.99,16.54,16.8,167.808007
45,2010-03-10,17.01,17.35,16.985,17.11,223.049107
46,2010-03-11,17.18,17.28,17.06,17.12,145.145173
47,2010-03-12,17.26,17.3,16.68,16.85,171.537384
48,2010-03-15,16.74,16.91,16.59,16.85,120.426328
49,2010-03-16,16.97,17.07,16.9,17.03,107.445086
50,2010-03-17,17.17,17.3,17.025,17.27,134.512187
51,2010-03-18,17.29,17.32,16.98,17.08,124.032733
52,2010-03-19,17.16,17.23,16.74,16.82,178.287022
53,2010-03-22,16.62,16.97,16.6,16.96,113.709999
54,2010-03-23,17.08,17.22,16.94,17.13,131.29489
55,2010-03-24,17.12,17.73,17.1,17.57,270.366651
56,2010-03-25,17.84,18.35,17.7,17.74,315.38838
57,2010-03-26,17.98,18.23,17.75,17.9,221.090299
58,2010-03-29,18.17,18.2,17.77,18.04,152.626212
59,2010-03-30,18.06,18.12,17.67,17.76,144.405037
60,2010-03-31,17.69,17.98,17.67,17.85,114.309782
61,2010-04-01,18.02,18.1,17.89,18.04,95.639969
62,2010-04-05,18.16,18.25,18.02,18.13,108.051391
63,2010-04-06,18.16,18.54,18.1,18.49,160.350694
64,2010-04-07,18.58,18.86,18.53,18.62,233.582138
65,2010-04-08,18.59,18.84,18.31,18.65,164.246836
66,2010-04-09,18.82,18.85,18.5,18.59,135.538224
67,2010-04-12,18.68,18.82,18.6,18.66,128.375146
68,2010-04-13,18.61,18.72,18.49,18.67,113.729309
69,2010-04-14,18.98,19.42,18.92,19.4,246.672879
70,2010-04-15,19.63,19.8642,19.36,19.48,240.232634
71,2010-04-16,19.47,19.48,18.05,18.41,589.043398
72,2010-04-19,18.1,18.65,17.87,18.39,359.00961
73,2010-04-20,18.79,18.83,18.44,18.61,200.525704
74,2010-04-21,18.67,18.91,18.11,18.28,202.216105
75,2010-04-22,18.03,18.6,17.95,18.54,219.566372
76,2010-04-23,18.4,18.53,18.28,18.43,145.419667
77,2010-04-26,18.41,18.44,18.025,18.05,160.851641
78,2010-04-27,17.91,18.18,17.41,17.47,259.521768
79,2010-04-28,17.65,17.96,17.51,17.78,195.341152
80,2010-04-29,18.04,18.4,17.99,18.3,177.341539
81,2010-04-30,18.28,18.3,17.61,17.83,231.560707
82,2010-05-03,17.88,18.15,17.78,18.06,150.814251
83,2010-05-04,17.77,17.91,17.48,17.56,183.299763
84,2010-05-05,17.2,17.84,16.89,17.53,195.109793
85,2010-05-06,17.48,17.61,15.5,16.28,465.128266
86,2010-05-07,16.48,16.79,15.95,16.18,388.308783
87,2010-05-10,17.225,17.39,17.01,17.3,268.608686
88,2010-05-11,17.08,17.49,16.97,17.16,188.246177
89,2010-05-12,17.27,17.33,16.99,17.07,179.381197
90,2010-05-13,17.03,17.18,16.85,16.87,135.248439
91,2010-05-14,16.71,16.72,16.12,16.34,212.901197
92,2010-05-17,16.39,16.45,15.85,16.35,182.035999
93,2010-05-18,16.71,16.75,15.67,15.95,216.110356
94,2010-05-19,15.8,16.46,15.8,16.31,260.76409
95,2010-05-20,15.96,16.05,15.28,15.3,301.321889
96,2010-05-21,14.96,16.0,14.95,15.99,266.740059
97,2010-05-24,15.98,16.08,15.39,15.4,170.92319
98,2010-05-25,14.91,15.54,14.8,15.49,264.041376
99,2010-05-26,15.91,16.1,15.38,15.47,226.001304
100,2010-05-27,15.81,16.2,15.59,16.18,163.574961
101,2010-05-28,16.17,16.18,15.71,15.74,160.861511
102,2010-06-01,15.58,15.98,15.4,15.44,126.222368
103,2010-06-02,15.58,15.92,15.35,15.89,127.146339
104,2010-06-03,15.96,16.07,15.6901,15.81,124.265099
105,2010-06-04,15.5,15.73,15.25,15.35,148.466922
106,2010-06-07,15.36,15.4,14.77,14.83,159.011778
107,2010-06-08,14.88,15.35,14.79,15.33,167.718547
108,2010-06-09,15.43,15.49,14.94,15.01,150.867249
109,2010-06-10,15.27,15.48,15.11,15.46,124.064981
110,2010-06-11,15.33,15.7,15.305,15.6,115.159698
111,2010-06-14,15.7,15.79,15.39,15.41,120.546068
112,2010-06-15,15.555,15.84,15.31,15.799,129.833816
113,2010-06-16,15.695,15.97,15.65,15.87,110.987067
114,2010-06-17,15.96,16.07,15.59,15.82,127.150053
115,2010-06-18,15.88,15.91,15.74,15.82,105.741382
116,2010-06-21,16.03,16.1,15.75,15.79,109.161956
117,2010-06-22,15.775,15.905,15.56,15.58,108.248932
118,2010-06-23,15.6,15.71,15.29,15.43,132.931228
119,2010-06-24,15.27,15.31,14.98,15.02,167.915897
120,2010-06-25,15.26,15.62,15.11,15.42,175.268603
121,2010-06-28,15.5,15.55,15.21,15.24,110.744654
122,2010-06-29,15.01,15.05,14.45,14.57,202.044752
123,2010-06-30,14.62,14.8,14.3,14.37,138.998703
124,2010-07-01,14.32,14.35,13.5,14.02,256.811647
125,2010-07-02,14.1,14.1,13.68,13.84,141.012898
126,2010-07-06,14.125,14.31,13.83,14.06,120.214428
127,2010-07-07,14.12,14.73,14.1,14.71,150.050769
128,2010-07-08,14.88,14.94,14.6,14.86,132.341013
129,2010-07-09,14.86,15.13,14.75,15.11,86.437049
130,2010-07-12,15.07,15.25,14.97,15.21,92.169727
131,2010-07-13,15.48,15.72,15.4,15.67,130.764538
132,2010-07-14,15.6,15.72,15.42,15.67,115.672295
133,2010-07-15,15.66,15.69,15.06,15.39,177.270721
134,2010-07-16,14.63,14.67,13.96,13.98,438.548956
135,2010-07-19,13.97,14.02,13.3,13.61,314.601875
136,2010-07-20,13.36,13.85,13.3,13.77,180.215651
137,2010-07-21,13.96,13.97,13.33,13.36,203.20712
138,2010-07-22,13.55,13.89,13.54,13.66,185.798077
139,2010-07-23,13.68,13.8,13.47,13.74,134.012421
140,2010-07-26,13.85,14.21,13.71,14.15,159.292654
141,2010-07-27,14.52,14.65,14.18,14.19,174.249589
142,2010-07-28,14.12,14.24,13.96,13.99,110.181964
143,2010-07-29,14.15,14.21,13.9,14.03,124.541742
144,2010-07-30,13.88,14.24,13.85,14.04,130.27414
145,2010-08-02,14.38,14.47,14.23,14.44,130.262495
146,2010-08-03,14.36,14.46,14.29,14.34,96.7915
147,2010-08-04,14.36,14.39,14.12,14.19,131.929396
148,2010-08-05,14.09,14.1263,13.955,14.02,110.958723
149,2010-08-06,13.91,14.04,13.75,13.96,135.154024
150,2010-08-09,14.06,14.07,13.75,13.91,121.468695
151,2010-08-10,13.77,13.82,13.61,13.63,131.31146
152,2010-08-11,13.5,13.52,13.16,13.19,183.026017
153,2010-08-12,13.05,13.35,13.02,13.0625,146.921824
154,2010-08-13,13.11,13.34,13.11,13.23,107.947648
155,2010-08-16,13.13,13.29,13.09,13.19,99.769906
156,2010-08-17,13.405,13.45,13.15,13.21,132.093539
157,2010-08-18,13.25,13.5,13.24,13.32,137.616202
158,2010-08-19,13.28,13.37,13.01,13.02,153.479213
159,2010-08-20,12.98,12.99,12.75,12.87,164.627756
160,2010-08-23,13.07,13.1,12.86,12.87,114.696688
161,2010-08-24,12.75,12.83,12.59,12.64,157.005948
162,2010-08-25,12.56,12.72,12.42,12.66,159.946101
163,2010-08-26,12.735,12.9,12.47,12.47,137.839444
164,2010-08-27,12.57,12.72,12.41,12.64,158.670553
165,2010-08-30,12.54,12.6,12.27,12.32,127.463409
166,2010-08-31,12.33,12.52,12.18,12.46,173.04105
167,2010-09-01,12.64,13.21,12.6,13.2075,204.635223
168,2010-09-02,13.15,13.44,13.15,13.28,154.904075
169,2010-09-03,13.5,13.69,13.33,13.5,141.711491
170,2010-09-07,13.38,13.42,13.2,13.21,127.524239
171,2010-09-08,13.26,13.49,13.23,13.37,100.658329
172,2010-09-09,13.58,13.87,13.48,13.5,168.553574
173,2010-09-10,13.6,13.66,13.51,13.55,85.884778
174,2010-09-13,13.94,14.06,13.87,13.95,164.150609
175,2010-09-14,13.96,13.97,13.64,13.68,140.05112
176,2010-09-15,13.62,13.79,13.51,13.71,134.692661
177,2010-09-16,13.62,13.66,13.51,13.55,120.789776
178,2010-09-17,13.69,13.7,13.34,13.4,132.687999
179,2010-09-20,13.46,13.81,13.37,13.74,130.673643
180,2010-09-21,13.95,14.0,13.64,13.65,168.359963
181,2010-09-22,13.63,13.77,13.41,13.42,140.653378
182,2010-09-23,13.31,13.43,13.12,13.17,153.258264
183,2010-09-24,13.37,13.6,13.3,13.6,142.504269
184,2010-09-27,13.605,13.63,13.23,13.24,123.759597
185,2010-09-28,13.31,13.32,13.15,13.27,124.892771
186,2010-09-29,13.24,13.29,13.05,13.11,156.718398
187,2010-09-30,13.21,13.39,13.05,13.1025,148.907504
188,2010-10-01,13.22,13.42,13.06,13.3,168.815226
189,2010-10-04,13.27,13.45,13.13,13.15,133.681481
190,2010-10-05,13.32,13.64,13.205,13.56,191.282194
191,2010-10-06,13.63,13.66,13.32,13.39,150.788177
192,2010-10-07,13.47,13.5,13.23,13.31,112.302502
193,2010-10-08,13.335,13.49,13.1,13.18,173.163113
194,2010-10-11,13.2,13.25,13.11,13.15,101.28665
195,2010-10-12,13.1,13.53,13.09,13.52,136.89934
196,2010-10-13,13.6,13.64,13.25,13.29,175.064019
197,2010-10-14,13.0,13.03,12.42,12.6,511.209822
198,2010-10-15,12.66,12.68,11.74,11.98,600.418941
199,2010-10-18,11.96,12.37,11.83,12.34,417.321065
200,2010-10-19,12.34,12.45,11.71,11.8,574.215773
201,2010-10-20,11.6,11.88,11.17,11.75,654.672129
202,2010-10-21,11.84,11.88,11.32,11.36,318.736592
203,2010-10-22,11.47,11.58,11.37,11.44,173.43888
204,2010-10-25,11.56,11.59,11.07,11.16,327.395258
205,2010-10-26,11.08,11.48,11.03,11.3,232.844704
206,2010-10-27,11.32,11.67,11.25,11.54,275.329084
207,2010-10-28,11.72,11.72,11.41,11.53,180.387152
208,2010-10-29,11.5,11.54,11.36,11.449,126.826242
209,2010-11-01,11.5,11.58,11.36,11.5,152.009295
210,2010-11-02,11.56,11.59,11.3,11.4,176.476364
211,2010-11-03,11.46,11.55,11.31,11.52,176.347277
212,2010-11-04,11.79,12.24,11.7,12.13,310.810135
213,2010-11-05,12.17,12.71,12.16,12.36,405.641999
214,2010-11-08,12.62,12.73,12.43,12.6,247.874658
215,2010-11-09,12.73,12.74,12.23,12.27,223.701045
216,2010-11-10,12.35,12.57,12.2,12.57,191.588391
217,2010-11-11,12.5,12.56,12.31,12.37,130.714513
218,2010-11-12,12.29,12.33,12.03,12.12,170.606054
219,2010-11-15,12.22,12.29,12.07,12.1,112.251011
220,2010-11-16,11.99,12.05,11.72,11.94,219.307728
221,2010-11-17,11.9,11.99,11.6,11.62,170.063315
222,2010-11-18,11.78,11.82,11.63,11.7,138.774967
223,2010-11-19,11.64,11.66,11.53,11.66,104.573884
224,2010-11-22,11.56,11.59,11.21,11.3,223.152511
225,2010-11-23,11.18,11.39,11.06,11.09,199.129036
226,2010-11-24,11.18,11.3,11.1,11.28,109.701105
227,2010-11-26,11.17,11.21,11.11,11.14,54.444843
228,2010-11-29,11.14,11.36,11.08,11.31,144.668255
229,2010-11-30,11.2015,11.3,10.91,10.95,267.123694
230,2010-12-01,11.17,11.3,10.97,11.29,289.112363
231,2010-12-02,11.37,11.74,11.35,11.68,284.374679
232,2010-12-03,11.59,11.88,11.53,11.86,164.557305
233,2010-12-06,11.78,11.86,11.63,11.64,132.217694
234,2010-12-07,11.84,11.87,11.5,11.57,214.540858
235,2010-12-08,11.61,12.07,11.6,12.0,235.160543
236,2010-12-09,12.26,12.69,12.25,12.65,328.649847
237,2010-12-10,12.65,12.85,12.47,12.8,224.57646
238,2010-12-13,12.86,12.881,12.515,12.54,189.209742
239,2010-12-14,12.57,12.71,12.33,12.4,161.362214
240,2010-12-15,12.38,12.54,12.28,12.29,160.61637
241,2010-12-16,12.47,12.77,12.38,12.52,309.279821
242,2010-12-17,12.55,12.65,12.45,12.57,154.552584
243,2010-12-20,12.59,12.75,12.57,12.62,113.820926
244,2010-12-21,12.73,12.98,12.7,12.98,163.180823
245,2010-12-22,13.01,13.45,13.0,13.38,240.630377
246,2010-12-23,13.26,13.3,12.97,13.06,184.129879
247,2010-12-27,12.98,13.4,12.96,13.27,116.015474
248,2010-12-28,13.38,13.49,13.34,13.34,119.26018
249,2010-12-29,13.39,13.42,13.31,13.31,74.994974
250,2010-12-30,13.32,13.4,13.26,13.28,88.179984
251,2010-12-31,13.23,13.38,13.22,13.34,63.093343
252,2011-01-03,13.85,14.23,13.8,14.19,354.33691
253,2011-01-04,14.23,14.25,14.02,14.24,218.981624
254,2011-01-05,14.19,14.6,14.15,14.5,246.162683
255,2011-01-06,14.54,14.69,14.34,14.44,241.165778
256,2011-01-07,14.54,14.68,13.98,14.25,392.025202
257,2011-01-10,14.17,14.43,14.09,14.4,185.400915
258,2011-01-11,14.61,14.73,14.53,14.69,212.22201
259,2011-01-12,14.89,14.99,14.85,14.99,203.879306
260,2011-01-13,15.01,15.02,14.72,14.77,159.281232
261,2011-01-14,14.735,15.31,14.68,15.25,282.497007
262,2011-01-18,15.08,15.16,14.85,15.0,198.430276
263,2011-01-19,14.85,14.95,14.35,14.37,247.036388
264,2011-01-20,14.27,14.605,13.94,14.54,245.231336
265,2011-01-21,14.41,14.71,14.22,14.25,291.85755
266,2011-01-24,14.25,14.26,13.88,13.92,225.429773
267,2011-01-25,13.78,13.84,13.4,13.63,303.647338
268,2011-01-26,13.71,13.77,13.55,13.55,145.827149
269,2011-01-27,13.58,13.67,13.48,13.67,152.953412
270,2011-01-28,13.83,14.06,13.58,13.6,226.451391
271,2011-01-31,13.71,13.79,13.64,13.73,117.961227
272,2011-02-01,13.895,14.3695,13.87,14.31,211.9852
273,2011-02-02,14.33,14.35,14.13,14.24,140.327503
274,2011-02-03,14.16,14.47,14.15,14.43,145.769001
275,2011-02-04,14.43,14.47,14.11,14.29,141.017757
276,2011-02-07,14.51,14.77,14.43,14.67,149.426371
277,2011-02-08,14.64,14.76,14.5,14.61,158.432062
278,2011-02-09,14.46,14.69,14.41,14.64,150.14663
279,2011-02-10,14.505,14.64,14.47,14.49,132.249805
280,2011-02-11,14.37,14.8695,14.35,14.77,156.207439
281,2011-02-14,14.775,14.95,14.71,14.89,112.577376
282,2011-02-15,14.8,14.88,14.69,14.77,109.535415
283,2011-02-16,14.81,14.88,14.7,14.84,132.813357
284,2011-02-17,14.75,14.91,14.73,14.81,103.499551
285,2011-02-18,14.84,14.89,14.67,14.75,98.372597
286,2011-02-22,14.38,14.52,14.09,14.18,187.547364
287,2011-02-23,14.17,14.44,13.92,14.17,196.36695
288,2011-02-24,14.11,14.16,13.79,13.97,201.699976
289,2011-02-25,14.16,14.32,14.1195,14.2,126.876036
290,2011-02-28,14.27,14.48,14.16,14.29,137.003551
291,2011-03-01,14.315,14.35,13.91,13.93,161.190764
292,2011-03-02,13.92,14.07,13.81,13.83,115.611996
293,2011-03-03,14.05,14.29,14.05,14.27,139.526538
294,2011-03-04,14.3,14.31,13.98,14.12,146.247491
295,2011-03-07,14.18,14.27,13.92,14.03,139.052031
296,2011-03-08,14.27,14.7,14.2,14.69,250.49065
297,2011-03-09,14.66,14.69,14.48,14.59,148.381398
298,2011-03-10,14.42,14.46,14.26,14.26,155.642971
299,2011-03-11,14.11,14.43,14.1,14.38,111.611807
300,2011-03-14,14.26,14.35,14.07,14.23,112.185504
301,2011-03-15,13.77,14.06,13.71,13.96,167.737888
302,2011-03-16,14.01,14.1,13.66,13.69,178.755972
303,2011-03-17,13.89,14.04,13.75,13.98,131.794449
304,2011-03-18,14.2,14.29,13.98,14.04,199.268387
305,2011-03-21,14.2,14.22,13.9,14.05,114.405378
306,2011-03-22,14.04,14.05,13.88,13.88,86.450613
307,2011-03-23,13.72,13.74,13.37,13.65,230.196053
308,2011-03-24,13.56,13.59,13.32,13.48,170.8889
