,date,open,high,low,close,volume
0,2010-01-04,11.22,11.43,10.95,11.22,14.508518
1,2010-01-05,11.32,12.34,11.29,12.1,25.078619
2,2010-01-06,11.99,12.24,11.85,12.11,14.991722
3,2010-01-07,12.06,12.86,12.05,12.69,19.817036
4,2010-01-08,12.62,12.85,12.05,12.47,24.590065
5,2010-01-11,12.34,12.89,12.13,12.79,16.234476
6,2010-01-12,12.67,12.91,12.31,12.54,12.906844
7,2010-01-13,12.53,12.96,12.41,12.85,11.764133
8,2010-01-14,12.72,13.31,12.69,13.17,12.030452
9,2010-01-15,13.18,13.33,12.59,12.74,9.129933
10,2010-01-19,12.8,13.29,12.79,13.03,9.841267
11,2010-01-20,12.97,13.49,12.69,13.41,20.134111
12,2010-01-21,13.5,13.69,13.15,13.44,24.674773
13,2010-01-22,13.31,13.73,12.91,13.29,22.281054
14,2010-01-25,13.38,13.6425,12.95,13.33,19.303414
15,2010-01-26,12.78,13.4,12.7,13.15,16.296188
16,2010-01-27,13.01,13.44,12.82,13.16,24.584438
17,2010-01-28,13.23,13.54,12.63,12.65,17.092383
18,2010-01-29,12.8,13.16,12.19,12.23,19.298333
19,2010-02-01,12.37,12.64,12.32,12.63,9.734164
20,2010-02-02,12.8,13.07,12.66,12.9,12.952876
21,2010-02-03,12.91,12.91,12.32,12.42,9.610002
22,2010-02-04,11.79,12.03,11.32,11.46,17.083123
23,2010-02-05,11.41,11.73,10.93,11.3,20.007254
24,2010-02-08,11.31,11.6,11.14,11.25,9.299963
25,2010-02-09,11.53,12.55,11.53,12.39,23.980942
26,2010-02-10,12.27,12.33,11.49,11.58,19.465487
27,2010-02-11,11.65,12.22,11.58,11.83,14.527295
28,2010-02-12,11.69,12.265,11.57,12.25,12.772068
29,2010-02-16,12.33,12.62,12.3,12.48,7.987831
30,2010-02-17,12.33,12.8,12.33,12.73,10.333006
31,2010-02-18,12.61,12.82,12.41,12.55,7.200217
32,2010-02-19,12.48,12.74,12.48,12.69,4.818027
33,2010-02-22,12.73,13.2125,12.68,12.73,9.825956
34,2010-02-23,12.73,12.93,12.48,12.64,5.59787
35,2010-02-24,12.62,12.77,12.45,12.75,6.896166
36,2010-02-25,12.58,12.74,12.36,12.66,6.531592
37,2010-02-26,12.74,13.02,12.67,12.92,6.595196
38,2010-03-01,12.93,13.5,12.93,13.17,8.058301
39,2010-03-02,13.18,13.42,12.73,12.78,9.628606
40,2010-03-03,12.83,13.07,12.73,12.93,5.70636
41,2010-03-04,13.07,13.07,12.59,12.78,6.527282
42,2010-03-05,12.84,12.94,12.61,12.7,7.205222
43,2010-03-08,12.7,12.9,12.52,12.54,10.700193
44,2010-03-09,12.68,13.27,12.62,12.81,17.176341
45,2010-03-10,13.0,13.56,12.95,13.3,17.020624
46,2010-03-11,13.18,13.28,12.86,12.99,10.499074
47,2010-03-12,13.1,13.11,12.68,12.83,7.360143
48,2010-03-15,12.84,12.84,12.51,12.66,13.434584
49,2010-03-16,12.83,13.0,12.67,12.98,8.104228
50,2010-03-17,12.92,13.05,12.76,12.94,8.630176
51,2010-03-18,12.91,13.15,12.9,13.11,6.620441
52,2010-03-19,13.0,13.09,12.56,12.57,9.76596
53,2010-03-22,12.42,13.09,12.33,13.07,7.555109
54,2010-03-23,13.07,13.44,12.81,13.43,9.094508
