,date,open,high,low,close,volume
0,2012-05-18,42.05,45.0,38.0,38.2318,580.526476
1,2012-05-21,36.53,36.66,33.0,34.03,168.309331
2,2012-05-22,32.61,33.59,30.94,31.0,102.053826
3,2012-05-23,31.37,32.5,31.36,32.0,73.721135
4,2012-05-24,32.95,33.21,31.77,33.03,50.275879
5,2012-05-25,32.9,32.95,31.11,31.91,37.18963
6,2012-05-29,31.48,31.69,28.65,28.84,78.060799
7,2012-05-30,28.695,29.55,27.86,28.19,57.267867
8,2012-05-31,28.545,29.67,26.83,29.6,111.638721
9,2012-06-01,28.892,29.15,27.39,27.72,41.850889
10,2012-06-04,27.2,27.65,26.44,26.9,35.22769
11,2012-06-05,26.7,27.76,25.75,25.869,42.472862
12,2012-06-06,26.07,27.17,25.52,26.81,61.484746
13,2012-06-07,27.0,27.35,26.15,26.31,26.167757
14,2012-06-08,26.55,27.76,26.44,27.1,38.03342
15,2012-06-11,27.18,28.07,26.835,27.005,28.225887
16,2012-06-12,27.48,27.77,26.96,27.4,15.822414
17,2012-06-13,27.66,28.1,27.1,27.27,17.118672
18,2012-06-14,27.65,28.32,27.38,28.29,16.852314
19,2012-06-15,28.505,30.1,28.35,30.014,43.563739
20,2012-06-18,29.955,32.08,29.41,31.41,42.953209
21,2012-06-19,31.535,32.18,30.7,31.911,30.848913
22,2012-06-20,31.92,31.9288,31.15,31.6,15.558921
23,2012-06-21,31.67,32.5,31.51,31.84,21.874448
24,2012-06-22,32.41,33.45,32.06,33.05,74.758976
25,2012-06-25,32.86,33.02,31.55,32.06,24.352818
26,2012-06-26,32.69,33.44,32.5,33.1,24.858611
27,2012-06-27,32.46,32.9,31.9,32.23,28.599106
28,2012-06-28,31.96,32.19,30.9,31.36,17.646951
29,2012-06-29,31.92,31.99,30.76,31.095,19.526023
30,2012-07-02,31.25,31.73,30.55,30.771,14.131476
31,2012-07-03,30.91,31.44,30.8,31.2,8.765498
32,2012-07-05,31.32,31.625,31.02,31.47,10.036688
33,2012-07-06,31.44,31.9,31.26,31.73,10.946206
34,2012-07-09,32.1,32.88,31.99,32.17,17.78518
35,2012-07-10,32.43,32.48,31.1599,31.47,14.276996
36,2012-07-11,31.48,31.56,30.55,30.97,13.027752
37,2012-07-12,30.7,31.4,30.6,30.81,11.306636
38,2012-07-13,31.04,31.07,30.56,30.72,8.117346
39,2012-07-16,30.5,30.5,28.21,28.245,24.672074
40,2012-07-17,28.48,28.59,27.15,28.09,30.438551
41,2012-07-18,28.31,29.29,28.15,29.11,16.841779
42,2012-07-19,29.41,29.5,28.63,29.0,13.685031
43,2012-07-20,29.0,29.47,28.72,28.76,11.869046
44,2012-07-23,28.12,29.0,28.01,28.75,12.393864
45,2012-07-24,28.82,29.45,28.1,28.45,11.539799
46,2012-07-25,28.39,29.49,28.08,29.34,17.230154
47,2012-07-26,27.75,28.23,26.73,26.845,64.597378
48,2012-07-27,23.19,24.54,22.28,23.705,123.09834
49,2012-07-30,23.995,24.04,23.03,23.15,29.283095
50,2012-07-31,23.37,23.37,21.61,21.71,56.179322
51,2012-08-01,21.5,21.58,20.84,20.88,44.604365
52,2012-08-02,20.77,20.84,19.82,20.04,56.374436
53,2012-08-03,20.36,22.16,19.9,21.09,80.646975
54,2012-08-06,21.39,22.15,21.3,21.92,27.778038
55,2012-08-07,22.2,22.45,20.5,20.72,36.782827
56,2012-08-08,20.71,21.15,20.22,20.72,29.537376
57,2012-08-09,20.75,21.17,20.61,21.01,15.618515
58,2012-08-10,21.41,21.82,21.13,21.807,25.794673
59,2012-08-13,22.15,22.45,21.4,21.6,24.972873
60,2012-08-14,21.41,21.6,20.25,20.38,39.308634
61,2012-08-15,20.64,21.41,20.4,21.2,47.859467
62,2012-08-16,20.44,20.48,19.69,19.87,157.554838
63,2012-08-17,20.005,20.08,19.0,19.05,129.280121
64,2012-08-20,19.05,20.13,18.75,20.011,101.186524
65,2012-08-21,19.58,19.98,19.09,19.159,70.640462
66,2012-08-22,19.36,19.53,18.96,19.439,49.89213
67,2012-08-23,19.5,19.73,19.36,19.44,32.81331
68,2012-08-24,19.52,19.68,19.25,19.409,29.622155
69,2012-08-27,19.49,19.53,19.1,19.15,20.703907
70,2012-08-28,19.1,19.38,18.95,19.34,25.425786
71,2012-08-29,19.32,19.38,19.07,19.1,16.124625
72,2012-08-30,19.27,19.45,19.06,19.0885,30.647472
73,2012-08-31,18.68,18.7,18.03,18.058,58.76417
74,2012-09-04,18.08,18.27,17.55,17.729,46.622354
75,2012-09-05,18.27,18.75,18.18,18.58,60.781719
76,2012-09-06,18.74,19.2617,18.72,18.96,46.066347
77,2012-09-07,19.1,19.42,18.78,18.98,36.371696
78,2012-09-10,19.06,19.2,18.55,18.81,24.794742
79,2012-09-11,18.92,19.581,18.85,19.43,50.508026
80,2012-09-12,20.76,21.16,20.28,20.931,121.583996
81,2012-09-13,20.955,21.48,20.61,20.713,65.041524
82,2012-09-14,21.13,22.08,20.9,22.0,72.819643
83,2012-09-17,22.67,22.75,21.5,21.52,50.666447
84,2012-09-18,21.6,21.98,21.37,21.87,36.760449
85,2012-09-19,21.99,23.37,21.77,23.29,78.782783
86,2012-09-20,23.02,23.24,22.54,22.59,57.248663
87,2012-09-21,22.97,23.24,22.6,22.86,51.218097
88,2012-09-24,21.78,21.98,20.51,20.79,79.105121
89,2012-09-25,21.2,21.21,20.22,20.28,46.291655
90,2012-09-26,20.145,20.78,19.8,20.62,38.256878
91,2012-09-27,20.99,21.0,20.16,20.32,30.215821
92,2012-09-28,20.57,21.95,20.5,21.66,65.485921
93,2012-10-01,22.08,22.59,21.73,21.99,51.26268
94,2012-10-02,22.08,22.49,21.82,22.27,29.341393
95,2012-10-03,22.295,22.49,21.8,21.83,32.000079
96,2012-10-04,22.32,22.4,21.41,21.9475,46.894595
97,2012-10-05,21.49,21.63,20.88,20.91,40.529223
98,2012-10-08,20.4,20.75,20.155,20.4,32.236628
99,2012-10-09,20.39,20.55,19.97,20.227,27.159437
100,2012-10-10,19.93,19.94,19.45,19.64,39.321758
101,2012-10-11,19.88,19.96,19.61,19.75,21.817227
102,2012-10-12,19.75,19.8,19.48,19.5181,18.809397
103,2012-10-15,19.68,19.88,19.49,19.52,20.189668
104,2012-10-16,19.68,19.69,19.3,19.48,21.834687
105,2012-10-17,19.5,20.48,19.3718,19.88,44.074433
106,2012-10-18,19.7,19.79,18.89,18.975,52.157366
107,2012-10-19,19.0,19.06,18.8,19.0,34.834947
108,2012-10-22,19.2,19.43,19.05,19.321,32.447005
109,2012-10-23,19.25,19.8,19.1,19.5,78.381102
110,2012-10-24,24.13,24.25,22.85,23.2299,228.922474
111,2012-10-25,23.29,23.31,22.47,22.56,76.141512
112,2012-10-26,22.4,22.88,21.88,21.9425,73.259221
113,2012-10-31,20.82,21.5,20.73,21.11,99.378184
114,2012-11-01,21.08,21.44,21.01,21.21,37.713887
115,2012-11-02,21.26,21.69,21.07,21.18,38.344332
116,2012-11-05,21.1,21.48,20.92,21.25,31.806692
