,date,open,high,low,close,volume
0,2014-04-03,573.39,588.3,566.01,571.5,4.019626
1,2014-04-04,578.55,579.7173,544.494,545.25,5.366972
2,2014-04-07,544.79,549.85,530.53,540.63,3.961552
3,2014-04-08,545.05,559.88,544.7,557.51,3.488747
4,2014-04-09,565.84,567.8,555.38,567.04,3.033589
5,2014-04-10,568.0,568.21,545.5,546.69,3.296996
6,2014-04-11,537.94,547.59,533.4,537.76,3.175238
7,2014-04-14,543.66,553.02,540.52,545.2,2.541398
8,2014-04-15,551.0,552.89,530.64,548.7,3.999843
9,2014-04-16,557.7,564.0,553.1,563.9,4.588541
10,2014-04-17,556.32,557.0,539.4,543.34,5.616862
11,2014-04-21,544.0,544.0,534.0,539.37,2.425207
12,2014-04-22,536.0,547.995,536.0,545.5,2.331121
13,2014-04-23,543.67,544.8,528.1277,537.51,1.95933
14,2014-04-24,541.69,542.5,531.0,534.44,2.069559
15,2014-04-25,532.26,533.86,522.5,523.1,2.372604
16,2014-04-28,525.8,525.9,511.0,522.98,3.752779
17,2014-04-29,523.89,537.76,523.0,536.33,2.535967
18,2014-04-30,535.12,536.34,529.09,534.88,2.038658
19,2014-05-01,534.25,539.91,532.86,538.53,2.004375
20,2014-05-02,541.44,542.4,533.27,533.87,1.781595
21,2014-05-05,530.24,535.72,527.58,535.33,1.228797
22,2014-05-06,533.41,534.548,522.2601,522.57,1.835318
23,2014-05-07,523.25,524.43,511.09,518.0,3.074346
24,2014-05-08,515.72,527.35,514.46,520.17,2.452197
25,2014-05-09,518.65,527.35,514.28,526.62,2.261447
26,2014-05-12,531.84,538.75,527.51,538.43,1.949291
27,2014-05-13,539.58,543.99,537.9,541.54,2.011963
28,2014-05-14,541.82,541.82,533.11,534.41,1.281148
29,2014-05-15,533.14,533.9999,525.31,529.12,1.833044
30,2014-05-16,529.6,530.84,523.57,528.3,1.907733
31,2014-05-19,528.88,539.35,525.66,538.83,1.977885
32,2014-05-20,540.0,546.35,536.57,540.39,2.425292
33,2014-05-21,542.9,549.75,542.11,549.7,1.564854
34,2014-05-22,552.2,557.96,551.0,555.45,2.149757
35,2014-05-23,558.13,565.0,554.17,563.8,2.672674
36,2014-05-27,567.78,574.87,564.15,574.87,2.191828
37,2014-05-28,574.57,577.66,569.952,570.45,1.581576
38,2014-05-29,573.39,573.48,568.4525,570.56,1.411296
39,2014-05-30,571.64,572.58,565.79,571.65,1.871737
40,2014-06-02,569.75,570.41,556.7,564.34,1.66364
41,2014-06-03,560.9,562.4,552.5275,554.51,2.031647
42,2014-06-04,551.52,558.58,548.56,553.76,1.729192
43,2014-06-05,557.11,565.0,555.05,564.93,1.79637
44,2014-06-06,568.16,568.7999,559.58,566.03,1.740934
45,2014-06-09,566.75,572.0,565.22,570.73,1.529959
46,2014-06-10,568.78,572.0,566.13,568.3,1.485115
47,2014-06-11,565.92,568.97,563.68,567.5,1.129173
48,2014-06-12,567.0,567.0,557.15,559.5,1.549487
49,2014-06-13,560.08,560.65,553.72,560.35,1.353343
50,2014-06-16,557.25,557.99,550.0,552.3,1.971822
51,2014-06-17,552.36,553.74,547.47,550.615,1.481669
52,2014-06-18,552.8,561.4,551.58,560.66,2.060681
53,2014-06-19,561.15,565.0,556.6679,564.99,2.630539
54,2014-06-20,566.45,566.77,559.37,566.52,3.162147
55,2014-06-23,564.35,574.44,563.5,574.29,1.724098
56,2014-06-24,574.22,582.25,569.16,572.54,2.844325
57,2014-06-25,573.55,587.3,573.26,585.93,2.114743
58,2014-06-26,589.3,589.6,579.6,584.77,2.012353
59,2014-06-27,585.45,587.88,582.62,585.69,2.022118
60,2014-06-30,586.76,587.71,583.29,584.67,1.479411
61,2014-07-01,587.65,593.66,586.29,591.49,1.644628
62,2014-07-02,592.26,594.15,589.11,590.78,1.197005
63,2014-07-03,591.7,594.25,589.0,593.08,0.898852
64,2014-07-07,593.51,595.645,587.94,590.76,1.337088
65,2014-07-08,586.365,587.97,574.0,578.4,2.129924
66,2014-07-09,578.95,584.1,577.0,583.36,1.373056
67,2014-07-10,573.0,585.25,572.1001,580.04,1.436326
68,2014-07-11,581.0,588.23,580.575,586.65,1.514265
69,2014-07-14,590.6,594.86,586.693,594.26,1.954612
70,2014-07-15,595.15,595.2999,585.31,593.06,1.673979
71,2014-07-16,596.89,597.0,590.25,590.62,1.442211
72,2014-07-17,588.97,589.5,576.85,580.82,2.941648
73,2014-07-18,603.01,606.7,590.92,605.11,4.874243
74,2014-07-21,601.35,604.16,594.45,598.44,2.240111
75,2014-07-22,599.7,608.89,599.2576,603.57,1.881665
76,2014-07-23,602.05,607.05,601.35,605.19,1.106136
77,2014-07-24,605.53,608.91,601.0,603.01,1.355974
78,2014-07-25,599.25,601.0,595.75,598.08,1.361911
79,2014-07-28,597.75,601.098,592.59,599.02,1.358071
80,2014-07-29,597.7,598.49,592.17,593.95,1.366729
81,2014-07-30,595.81,598.45,592.7,595.44,1.215576
82,2014-07-31,588.96,591.9899,577.68,579.55,2.310471
83,2014-08-01,578.555,583.43,570.3,573.6,2.21379
84,2014-08-04,576.51,583.82,572.26,582.27,1.524818
85,2014-08-05,579.38,580.2,570.31,573.14,1.651342
86,2014-08-06,569.5,578.644,567.45,574.49,1.322878
87,2014-08-07,576.05,578.31,569.43,571.81,1.163027
88,2014-08-08,572.02,579.5639,569.02,577.94,1.495022
89,2014-08-11,579.0,579.69,575.298,577.25,1.203357
90,2014-08-12,575.0,575.9,569.91,572.12,1.394561
91,2014-08-13,576.45,586.125,575.2,584.56,1.903282
92,2014-08-14,586.69,587.8,580.92,584.65,1.272879
93,2014-08-15,587.5,589.47,580.76,583.71,1.725358
94,2014-08-18,587.1,595.05,586.55,592.7,1.470756
95,2014-08-19,595.59,597.81,594.44,597.11,1.045258
96,2014-08-20,596.95,596.99,593.001,595.41,0.926627
97,2014-08-21,594.9,595.25,591.101,592.42,1.133593
98,2014-08-22,593.27,594.99,589.8,592.54,0.877464
99,2014-08-25,594.77,595.58,589.26,590.57,1.298049
100,2014-08-26,592.0,592.05,587.45,588.12,1.471953
101,2014-08-27,587.81,589.37,580.9,583.0,1.368766
102,2014-08-28,580.02,584.71,577.88,580.32,1.40595
103,2014-08-29,582.35,582.8999,578.24,582.36,1.206884
104,2014-09-02,582.95,589.3,582.4,588.63,1.585277
105,2014-09-03,591.73,594.49,586.5,589.52,1.579779
106,2014-09-04,592.13,598.0,590.6,593.14,1.634585
107,2014-09-05,595.13,598.5,593.55,597.78,1.799855
108,2014-09-08,599.14,603.52,598.0231,601.63,1.601244
109,2014-09-09,600.27,600.6,590.48,591.97,1.574573
110,2014-09-10,591.74,593.72,587.14,593.42,1.160291
111,2014-09-11,590.0,591.945,586.04,591.11,1.501451
112,2014-09-12,590.39,591.48,583.28,584.9,1.852271
113,2014-09-15,582.24,583.92,577.01,581.64,1.549985
114,2014-09-16,580.95,590.15,580.95,588.78,1.581589
115,2014-09-17,589.51,596.07,587.12,593.29,1.720921
116,2014-09-18,595.05,597.56,593.02,597.27,1.494467
117,2014-09-19,599.49,605.4,597.76,605.4,4.19463
118,2014-09-22,602.5,603.8,593.12,597.27,1.778931
119,2014-09-23,595.0,596.65,590.24,591.18,1.405078
120,2014-09-24,591.57,600.11,590.3,598.42,1.760953
121,2014-09-25,596.99,598.07,584.74,585.25,1.676485
122,2014-09-26,585.93,589.5739,585.0,587.9,1.28709
123,2014-09-29,581.83,589.31,581.57,587.81,1.144982
124,2014-09-30,587.49,591.0,584.5,588.41,1.571688
125,2014-10-01,586.8,588.72,578.02,579.63,1.449686
126,2014-10-02,578.0,583.24,574.05,580.88,1.536935
127,2014-10-03,584.1,588.29,583.5,586.25,1.214593
128,2014-10-06,589.95,592.4,585.4,587.78,1.28613
129,2014-10-07,584.9,585.85,574.1,574.1,1.546228
130,2014-10-08,574.79,584.69,567.64,583.74,2.21036
131,2014-10-09,581.61,582.53,569.03,570.81,2.413438
132,2014-10-10,567.47,575.23,555.01,555.19,2.979671
133,2014-10-13,555.13,560.875,544.43,544.75,2.756508
134,2014-10-14,550.14,558.63,544.5,548.69,2.610033
135,2014-10-15,542.08,543.915,528.422,540.73,3.83622
136,2014-10-16,527.0,540.99,524.95,536.92,3.804985
137,2014-10-17,540.45,543.45,518.41,522.97,5.99874
138,2014-10-20,520.45,533.16,519.14,532.38,2.74983
139,2014-10-21,537.27,538.77,530.2,538.03,2.46014
140,2014-10-22,541.05,550.76,540.23,542.69,2.97455
141,2014-10-23,548.28,557.4,545.5,553.65,2.153678
142,2014-10-24,554.98,555.0,545.16,548.9,2.175767
