,date,open,high,low,close,volume
0,2010-01-04,28.58,28.61,28.45,28.52,13.874268
1,2010-01-05,28.425,28.495,28.07,28.175,23.176598
2,2010-01-06,28.175,28.22,27.99,28.165,19.271136
3,2010-01-07,28.165,28.185,27.875,28.095,13.23706
4,2010-01-08,27.73,27.82,27.375,27.575,28.724848
5,2010-01-11,27.575,28.2237,27.4,28.135,28.659386
6,2010-01-12,28.045,28.5,28.03,28.44,23.27314
7,2010-01-13,28.43,28.7151,28.345,28.515,15.160446
8,2010-01-14,28.52,28.625,28.385,28.565,12.393286
9,2010-01-15,28.475,28.675,28.02,28.145,27.46939
10,2010-01-19,28.11,28.245,27.96,28.21,14.607382
11,2010-01-20,28.08,28.195,27.645,27.75,18.818218
12,2010-01-21,27.775,27.79,27.095,27.185,27.402144
13,2010-01-22,27.175,27.43,26.99,27.12,23.560678
14,2010-01-25,27.245,27.27,26.94,27.175,16.856322
15,2010-01-26,27.035,27.25,26.935,27.07,15.516476
16,2010-01-27,27.0,27.33,26.85,27.255,20.416732
17,2010-01-28,27.355,27.42,27.0625,27.09,20.910824
18,2010-01-29,27.22,27.47,26.95,27.125,22.154054
19,2010-02-01,27.255,27.28,27.0,27.19,14.543292
20,2010-02-02,27.265,27.605,27.075,27.525,16.890038
21,2010-02-03,27.46,27.48,27.265,27.435,15.90419
22,2010-02-04,27.275,27.34,26.7,26.715,21.34551
23,2010-02-05,26.62,26.715,26.265,26.545,29.291972
24,2010-02-08,26.635,26.635,26.285,26.325,16.736474
25,2010-02-09,26.845,27.49,26.685,27.005,31.500086
26,2010-02-10,27.3,27.3,26.5825,26.895,18.721566
27,2010-02-11,26.8,27.165,26.635,27.11,26.329274
28,2010-02-12,26.96,27.2,26.8114,26.99,24.643376
29,2010-02-16,27.255,27.41,26.965,27.41,19.34251
30,2010-02-17,27.405,27.775,27.38,27.665,17.066354
31,2010-02-18,27.575,27.96,27.575,27.955,17.27126
32,2010-02-19,27.9,27.95,27.59,27.86,18.945884
33,2010-02-22,27.9,27.93,27.635,27.69,13.4908
34,2010-02-23,27.705,27.8,27.395,27.415,14.837854
35,2010-02-24,27.5,27.59,27.345,27.58,14.476056
36,2010-02-25,26.57,26.79,26.305,26.56,63.70316
37,2010-02-26,26.545,26.545,26.115,26.36,63.103044
38,2010-03-01,26.61,26.685,26.395,26.635,39.45862
39,2010-03-02,26.69,26.845,26.575,26.65,24.510874
40,2010-03-03,26.65,27.0601,26.59,26.965,26.581118
41,2010-03-04,27.35,27.52,27.16,27.235,28.997382
42,2010-03-05,27.345,27.475,27.18,27.35,24.246996
43,2010-03-08,27.36,27.435,27.16,27.23,18.922382
44,2010-03-09,27.17,27.295,26.975,27.09,23.074626
45,2010-03-10,27.13,27.185,27.02,27.1,21.594384
46,2010-03-11,26.89,26.89,26.5,26.8,29.16225
47,2010-03-12,26.845,26.8825,26.63,26.675,22.34169
48,2010-03-15,26.865,26.92,26.685,26.825,23.889382
49,2010-03-16,26.9,26.935,26.785,26.85,22.292008
50,2010-03-17,26.91,26.995,26.8,26.92,26.085772
51,2010-03-18,26.95,27.02,26.8725,26.975,23.500648
52,2010-03-19,27.07,27.53,26.8,27.375,43.617648
53,2010-03-22,27.245,27.425,27.2,27.27,18.132116
54,2010-03-23,27.355,27.67,27.205,27.65,19.085238
55,2010-03-24,27.61,27.68,27.305,27.31,17.05713
56,2010-03-25,27.455,27.5899,27.325,27.4,16.63938
57,2010-03-26,27.395,27.485,27.25,27.325,16.278178
58,2010-03-29,27.4,27.4801,27.335,27.385,13.856638
59,2010-03-30,27.45,27.525,27.305,27.435,13.634004
60,2010-03-31,27.395,27.645,27.25,27.5,22.922206
61,2010-04-01,27.68,27.715,27.5625,27.65,14.362456
62,2010-04-05,27.78,27.78,27.325,27.43,19.203084
63,2010-04-06,27.42,27.42,27.11,27.145,17.61016
64,2010-04-07,27.15,27.15,26.78,26.91,24.063756
65,2010-04-08,26.89,26.89,26.72,26.88,19.469394
66,2010-04-09,26.955,27.305,26.925,27.295,20.645736
67,2010-04-12,27.325,27.43,27.255,27.38,16.934998
68,2010-04-13,27.34,27.54,27.325,27.51,15.061418
69,2010-04-14,27.515,27.53,27.325,27.475,13.867902
70,2010-04-15,27.38,27.385,27.065,27.13,20.355536
71,2010-04-16,27.115,27.57,27.085,27.485,35.087938
72,2010-04-19,27.49,27.66,27.46,27.66,26.486308
73,2010-04-20,27.61,27.645,27.16,27.235,32.531948
74,2010-04-21,27.285,27.29,27.0,27.095,19.271946
75,2010-04-22,27.07,27.255,27.0,27.155,20.312404
76,2010-04-23,27.23,27.23,26.87,26.94,21.68094
77,2010-04-26,27.0,27.175,26.865,26.865,17.89658
78,2010-04-27,26.83,26.93,26.42,26.435,27.606582
79,2010-04-28,26.505,26.785,26.28,26.68,24.75927
80,2010-04-29,26.81,27.095,26.78,26.87,17.441728
81,2010-04-30,26.81,26.98,26.7,26.725,19.363782
82,2010-05-03,26.855,26.975,26.6325,26.88,16.128402
83,2010-05-04,26.695,26.9,26.525,26.59,23.28719
84,2010-05-05,26.715,26.95,26.6,26.83,23.687298
85,2010-05-06,26.835,27.1,25.605,26.15,47.923618
86,2010-05-07,26.095,26.42,25.77,26.335,43.565944
87,2010-05-10,26.925,27.045,26.625,27.02,35.324946
88,2010-05-11,26.81,27.035,26.75,26.805,23.172088
89,2010-05-12,26.9,27.05,26.71,27.01,24.0064
90,2010-05-13,26.975,27.0,26.725,26.745,19.324658
91,2010-05-14,26.68,26.825,26.43,26.67,25.87182
92,2010-05-17,26.74,26.775,26.425,26.705,17.400292
93,2010-05-18,26.85,26.86,26.54,26.55,20.439122
94,2010-05-19,26.5,26.675,26.23,26.56,21.122646
95,2010-05-20,26.25,26.25,25.765,25.77,29.313126
96,2010-05-21,25.42,25.86,25.15,25.795,34.269166
97,2010-05-24,25.605,25.934,25.51,25.73,16.939438
98,2010-05-25,25.185,25.365,24.97,25.31,28.705662
99,2010-05-26,25.415,25.44,24.97,25.04,32.620666
100,2010-05-27,25.305,25.625,25.13,25.615,22.666564
101,2010-05-28,25.59,25.9747,25.5,25.7,23.582878
102,2010-06-01,25.56,26.055,25.365,25.645,24.282222
103,2010-06-02,25.77,26.205,25.585,26.205,18.74626
104,2010-06-03,26.335,26.5,26.225,26.375,23.569534
105,2010-06-04,26.07,26.07,25.51,25.635,23.946308
106,2010-06-07,25.615,25.75,25.385,25.4,20.1817
107,2010-06-08,25.395,25.91,25.26,25.78,22.432966
108,2010-06-09,25.78,25.925,25.585,25.675,17.683448
109,2010-06-10,25.93,26.25,25.93,26.225,18.791102
110,2010-06-11,25.855,25.865,25.565,25.825,14.963248
111,2010-06-14,25.97,25.985,25.73,25.755,13.660486
112,2010-06-15,25.915,26.1,25.78,26.09,16.37395
113,2010-06-16,25.915,26.22,25.8825,26.2,16.789392
114,2010-06-17,26.25,26.35,26.0175,26.18,20.745346
115,2010-06-18,26.195,26.365,26.13,26.155,28.409076
116,2010-06-21,26.41,26.49,26.135,26.24,18.364216
117,2010-06-22,26.23,26.54,26.215,26.23,20.805664
118,2010-06-23,26.28,26.325,26.005,26.12,20.719664
119,2010-06-24,26.055,26.24,25.835,25.9,17.402972
120,2010-06-25,25.895,25.965,25.345,25.385,39.711676
121,2010-06-28,25.365,25.69,25.305,25.54,23.527686
