,date,open,high,low,close,volume
0,2010-01-04,62.63,63.07,62.31,62.78,5.84098
1,2010-01-05,62.66,62.75,62.19,62.3,7.10009
2,2010-01-06,62.2,62.41,61.06,61.45,10.552773
3,2010-01-07,61.25,62.34,61.11,61.9,7.519077
4,2010-01-08,62.27,62.41,61.6,61.84,6.108901
5,2010-01-11,62.02,62.43,61.85,62.32,6.084101
6,2010-01-12,62.03,62.66,62.0,62.66,7.200191
7,2010-01-13,62.86,63.29,62.56,62.59,8.624629
8,2010-01-14,62.56,62.73,62.085,62.65,7.098048
9,2010-01-15,62.67,62.98,62.0512,62.28,9.43113
10,2010-01-19,62.9,63.82,62.77,63.48,8.555206
11,2010-01-20,63.49,63.6,62.75,63.01,6.998424
12,2010-01-21,62.97,63.6,62.8,63.2,11.727436
13,2010-01-22,63.23,64.78,62.81,63.39,15.649485
14,2010-01-25,63.34,63.6,62.92,63.09,6.38869
15,2010-01-26,62.75,64.0,62.75,63.81,9.299705
16,2010-01-27,63.67,64.0,63.3,63.73,8.081498
17,2010-01-28,63.85,63.87,62.75,62.83,8.562009
18,2010-01-29,62.82,63.22,62.39,62.43,7.592135
19,2010-02-01,62.83,63.97,62.83,63.89,8.072056
20,2010-02-02,63.87,64.05,63.35,64.03,7.273036
21,2010-02-03,64.63,65.75,64.61,65.21,13.699929
22,2010-02-04,65.19,65.27,64.02,64.06,10.876399
23,2010-02-05,64.07,64.3397,62.63,63.37,14.01606
24,2010-02-08,63.48,63.8,62.92,62.92,6.980426
25,2010-02-09,63.15,63.85,62.77,63.57,10.140024
26,2010-02-10,63.535,63.83,62.97,63.25,6.161865
27,2010-02-11,63.25,63.84,62.54,63.79,7.479755
28,2010-02-12,63.21,63.89,63.1895,63.59,6.754689
29,2010-02-16,63.5,64.18,63.28,64.01,7.097646
30,2010-02-17,64.21,64.3501,63.77,64.26,5.425952
31,2010-02-18,64.11,64.62,64.0,64.48,4.977396
32,2010-02-19,64.46,64.8926,64.3,64.74,5.62566
33,2010-02-22,64.93,64.93,64.63,64.77,4.277571
34,2010-02-23,64.78,65.05,64.7,64.87,7.486233
35,2010-02-24,64.96,65.55,64.77,65.26,7.585103
36,2010-02-25,64.29,64.64,63.76,64.38,8.502543
37,2010-02-26,64.46,64.73,63.85,63.85,8.289732
38,2010-03-01,63.98,64.14,63.67,63.98,6.29262
39,2010-03-02,64.42,64.42,63.9105,64.07,6.272973
40,2010-03-03,64.25,64.34,63.45,63.63,6.396531
41,2010-03-04,63.79,63.79,63.3,63.43,5.959043
42,2010-03-05,63.72,63.76,63.25,63.67,8.155696
43,2010-03-08,64.41,65.5375,64.23,65.12,11.835312
44,2010-03-09,64.99,65.5,64.84,65.1,7.131384
45,2010-03-10,65.02,65.24,64.73,64.94,6.91075
46,2010-03-11,64.8,65.21,64.67,65.21,4.351596
47,2010-03-12,65.46,65.98,65.36,65.53,6.612341
48,2010-03-15,65.7,66.19,65.69,65.93,5.720349
49,2010-03-16,66.22,66.24,65.8,66.07,5.70754
50,2010-03-17,66.23,66.44,65.87,66.38,4.820456
51,2010-03-18,66.47,66.74,66.36,66.68,6.209888
52,2010-03-19,66.89,66.91,66.0,66.53,10.236037
53,2010-03-22,66.07,67.25,65.9,67.01,7.391368
54,2010-03-23,67.14,67.35,66.83,67.35,8.058672
55,2010-03-24,66.99,67.19,66.58,66.8,6.369523
56,2010-03-25,67.13,67.44,66.84,66.9,5.707348
57,2010-03-26,67.09,67.45,66.93,67.26,5.985688
58,2010-03-29,67.46,67.48,66.59,67.07,6.525619
59,2010-03-30,67.11,67.49,66.92,67.24,5.0944
60,2010-03-31,67.15,67.39,66.63,66.72,5.766336
61,2010-04-01,67.06,67.71,67.06,67.58,5.477655
62,2010-04-05,67.76,68.2,67.76,68.03,4.880154
63,2010-04-06,67.77,67.96,67.65,67.81,3.32063
64,2010-04-07,67.8,68.128,67.26,67.7,6.624971
65,2010-04-08,67.9,69.03,67.87,68.76,7.14455
66,2010-04-09,68.66,68.77,68.14,68.68,5.633792
67,2010-04-12,68.77,68.85,68.37,68.53,4.027778
68,2010-04-13,68.68,69.05,68.31,68.92,5.655622
69,2010-04-14,69.18,69.53,69.05,69.42,6.197339
70,2010-04-15,69.31,69.49,68.97,69.16,4.768589
71,2010-04-16,69.11,69.28,68.33,69.03,7.877073
72,2010-04-19,69.0,69.97,68.99,69.92,7.161193
73,2010-04-20,69.98,70.59,69.95,70.34,7.349702
74,2010-04-21,70.62,71.19,70.05,70.36,10.742182
75,2010-04-22,70.25,71.47,70.12,71.03,7.14123
76,2010-04-23,71.22,71.35,70.75,71.15,5.927057
77,2010-04-26,71.3,71.42,70.73,71.02,6.039208
78,2010-04-27,70.71,71.33,70.4,70.53,8.168547
79,2010-04-28,70.48,70.73,69.76,70.34,7.591192
80,2010-04-29,70.58,71.7,70.58,71.52,7.358114
81,2010-04-30,71.53,71.71,70.39,70.59,6.969152
82,2010-05-03,70.88,71.84,70.65,71.42,5.994511
83,2010-05-04,71.15,71.3,70.3,70.64,7.242657
84,2010-05-05,70.4,71.06,70.13,70.66,9.582579
85,2010-05-06,70.45,71.49,67.49,69.42,16.493564
86,2010-05-07,69.02,69.32,67.42,68.01,15.296721
87,2010-05-10,70.07,71.05,69.75,70.58,10.911043
88,2010-05-11,70.17,71.1,70.13,70.48,6.711812
89,2010-05-12,70.73,70.94,70.15,70.67,5.6569
90,2010-05-13,70.71,71.3,70.45,70.5,5.739068
91,2010-05-14,70.28,70.45,69.1,69.59,9.113873
92,2010-05-17,69.82,70.25,69.35,70.14,7.470907
93,2010-05-18,70.53,70.81,69.84,70.02,6.901922
94,2010-05-19,69.66,69.95,68.9,69.4,7.81968
95,2010-05-20,68.54,69.358,67.63,67.66,13.576909
96,2010-05-21,67.07,68.04,65.55,67.86,12.62749
97,2010-05-24,67.84,68.51,67.26,67.66,6.748724
98,2010-05-25,66.59,67.84,66.2,67.84,9.260977
99,2010-05-26,67.89,68.06,66.0,66.01,11.535521
100,2010-05-27,66.41,67.2,66.02,67.2,9.730426
101,2010-05-28,67.24,67.63,66.75,66.87,7.168266
102,2010-06-01,66.23,67.31,66.04,66.36,5.373781
103,2010-06-02,66.53,67.8,66.2,67.77,5.751357
104,2010-06-03,67.8,68.25,67.44,67.85,4.403118
105,2010-06-04,66.82,68.09,66.52,66.7,7.559485
106,2010-06-07,66.64,67.82,66.25,66.75,9.813811
107,2010-06-08,67.16,68.45,65.81,68.375,13.571019
108,2010-06-09,68.68,68.9,68.04,68.26,8.928027
109,2010-06-10,68.98,69.41,68.71,69.37,6.745032
110,2010-06-11,68.86,69.55,68.75,69.54,5.369882
111,2010-06-14,69.95,69.98,69.3,69.3,4.527077
112,2010-06-15,69.94,70.49,69.85,70.4,6.422398
113,2010-06-16,70.06,70.5,70.01,70.29,4.5514
114,2010-06-17,70.55,70.58,69.38,70.05,7.017001
115,2010-06-18,70.25,70.425,69.81,69.88,8.819098
116,2010-06-21,70.27,70.5,69.77,69.92,5.205632
117,2010-06-22,70.01,70.37,68.55,68.64,5.490181
118,2010-06-23,68.82,69.3,68.47,68.63,5.444229
119,2010-06-24,68.43,68.54,67.61,67.73,5.943562
120,2010-06-25,67.71,68.29,67.37,67.42,8.049223
121,2010-06-28,67.58,67.89,67.25,67.33,4.429034
122,2010-06-29,66.61,66.79,66.09,66.46,8.720689
123,2010-06-30,66.29,66.84,65.8,65.87,7.205849
124,2010-07-01,66.72,66.9,65.31,66.71,10.927007
125,2010-07-02,66.75,67.0,65.965,66.14,5.281891
126,2010-07-06,66.52,67.1,65.63,66.11,5.94401
127,2010-07-07,66.09,67.37,66.005,67.31,6.627356
128,2010-07-08,67.8,69.15,67.55,69.02,7.873303
129,2010-07-09,69.08,69.33,68.75,69.22,4.513539
130,2010-07-12,68.96,70.0,68.96,69.94,5.421183
131,2010-07-13,70.44,71.07,70.12,70.84,6.073828
132,2010-07-14,70.5,70.98,70.16,70.9,4.477181
133,2010-07-15,70.9,71.46,70.43,71.33,5.47114
134,2010-07-16,71.16,71.28,69.86,69.94,5.981969
135,2010-07-19,69.97,70.38,69.45,69.91,5.075023
136,2010-07-20,69.47,70.96,69.44,70.87,5.475271
137,2010-07-21,70.93,71.0,69.65,70.11,5.739447
138,2010-07-22,70.51,71.54,70.51,71.4,6.72487
139,2010-07-23,70.76,71.17,68.94,69.9,12.239456
140,2010-07-26,70.04,70.87,69.9,70.87,5.530376
141,2010-07-27,71.03,71.03,69.99,70.4,6.147836
142,2010-07-28,70.21,70.38,69.37,69.77,6.710258
