,date,open,high,low,close,volume
0,2010-10-01,25.0,25.45,24.25,24.7,5.674778
1,2010-10-04,25.02,25.49,23.76,24.1,9.707194
2,2010-10-05,24.32,24.8,24.32,24.47,7.26673
3,2010-10-06,24.61,25.05,24.61,24.97,5.524144
4,2010-10-07,25.09,25.82,24.84,25.72,7.436869
5,2010-10-08,25.76,27.06,25.49,26.44,8.397598
6,2010-10-11,26.55,26.9,25.99,26.04,4.016558
7,2010-10-12,25.97,27.38,25.91,26.98,9.638961
8,2010-10-13,27.42,27.625,26.6,26.69,7.252955
9,2010-10-14,26.9,26.9,25.655,25.83,5.185992
10,2010-10-15,26.14,26.42,25.93,26.15,4.552427
11,2010-10-18,26.3,26.32,25.82,26.32,3.60817
12,2010-10-19,25.71,26.19,25.45,25.69,6.301282
13,2010-10-20,26.38,27.7,26.07,27.63,9.062897
14,2010-10-21,27.31,28.73,26.72,27.8,13.028868
15,2010-10-22,27.92,27.92,27.25,27.71,4.347603
16,2010-10-25,27.82,28.23,27.62,27.71,5.211355
17,2010-10-26,27.53,28.69,27.3,28.44,5.053783
18,2010-10-27,28.35,29.56,28.12,29.53,5.699084
19,2010-10-28,29.61,29.75,28.6,28.92,5.238215
20,2010-10-29,29.09,29.11,28.4,29.04,4.225675
21,2010-11-01,28.91,29.09,28.03,28.4,4.563555
22,2010-11-02,28.58,28.64,27.74,28.61,3.333401
23,2010-11-03,28.88,29.1,28.21,28.93,5.217931
24,2010-11-04,29.43,29.59,27.77,27.86,9.426372
25,2010-11-05,28.08,28.29,27.51,27.86,6.387422
26,2010-11-08,27.96,28.61,27.61,28.59,4.939528
27,2010-11-09,28.78,28.8,27.81,28.05,4.703419
28,2010-11-10,28.2,28.3,27.7101,28.04,2.259492
29,2010-11-11,27.7,28.52,27.61,28.4,3.179093
30,2010-11-12,28.08,28.37,27.68,27.87,2.714415
31,2010-11-15,27.69,28.15,27.28,27.47,3.704078
32,2010-11-16,27.4,28.14,26.66,27.18,5.199817
33,2010-11-17,27.28,27.4301,26.76,27.34,2.274736
34,2010-11-18,27.6,28.35,27.54,27.98,3.484761
35,2010-11-19,27.89,28.71,27.75,28.62,4.144139
36,2010-11-22,28.46,28.84,28.19,28.68,2.960746
37,2010-11-23,28.29,28.42,27.75,27.92,2.884593
38,2010-11-24,27.98,29.25,27.98,29.21,4.810926
39,2010-11-26,28.82,29.06,28.65,28.86,1.304329
40,2010-11-29,28.65,29.04,28.01,28.2,4.918148
41,2010-11-30,28.08,28.43,27.61,27.68,3.580138
42,2010-12-01,28.13,28.59,27.78,28.37,4.147493
43,2010-12-02,28.39,28.55,28.04,28.21,2.86938
44,2010-12-03,27.92,28.12,27.63,27.73,3.470884
45,2010-12-06,27.59,27.87,26.86,27.04,5.529004
46,2010-12-07,27.23,27.565,25.44,25.78,9.310576
47,2010-12-08,25.97,25.97,24.7,25.42,7.927916
48,2010-12-09,25.61,26.51,25.2004,26.15,5.421542
49,2010-12-10,25.98,26.25,25.23,26.1,4.037241
50,2010-12-13,26.12,26.17,25.06,25.19,5.979214
51,2010-12-14,25.15,25.55,24.21,24.41,7.617947
52,2010-12-15,24.3,24.73,23.74,23.86,5.267902
53,2010-12-16,23.83,24.54,23.81,24.37,6.678107
54,2010-12-17,24.37,24.47,23.93,24.14,3.538127
55,2010-12-20,24.09,24.25,23.78,24.2,4.544253
56,2010-12-21,24.25,24.49,23.83,24.31,5.490247
57,2010-12-22,24.22,24.51,23.73,24.41,6.668675
58,2010-12-23,24.48,24.53,23.33,23.41,6.374947
59,2010-12-27,23.42,23.58,23.14,23.41,3.074537
60,2010-12-28,23.55,23.61,23.19,23.27,2.436547
61,2010-12-29,23.16,23.57,23.1,23.46,2.516295
62,2010-12-30,23.6,24.06,23.5,24.01,3.894576
63,2010-12-31,24.02,24.768,23.67,23.82,3.911607
64,2011-01-03,24.13,25.15,24.1,25.13,7.637309
65,2011-01-04,25.3,25.92,25.2,25.53,7.164714
66,2011-01-05,25.53,26.23,25.25,25.35,7.955543
67,2011-01-06,25.43,25.9,25.25,25.75,5.934349
68,2011-01-07,25.75,26.08,25.45,25.95,4.371623
69,2011-01-10,26.08,26.38,25.79,26.2,5.409765
70,2011-01-11,26.39,26.39,25.58,25.69,4.742478
71,2011-01-12,25.85,26.08,25.63,25.9,3.647436
72,2011-01-13,25.76,25.99,25.5,25.96,4.000234
73,2011-01-14,25.77,25.89,25.61,25.88,3.112002
74,2011-01-18,25.69,25.69,25.0,25.02,5.102997
75,2011-01-19,25.13,25.5,24.2,24.38,7.086823
76,2011-01-20,24.24,24.61,23.82,24.18,7.652776
77,2011-01-21,24.57,24.57,23.63,23.75,5.550309
78,2011-01-24,23.87,24.28,23.76,24.12,7.256518
79,2011-01-25,24.2,24.45,23.84,24.09,3.689587
80,2011-01-26,25.07,26.4,24.83,25.79,13.080592
81,2011-01-27,26.22,27.47,26.01,26.96,8.31807
82,2011-01-28,26.97,27.02,25.51,25.85,7.696408
83,2011-01-31,25.88,26.481,25.11,25.4,6.381064
84,2011-02-01,25.46,25.55,24.94,25.26,9.581422
85,2011-02-02,25.03,25.39,24.68,24.76,7.377828
86,2011-02-03,24.68,25.95,24.67,25.63,6.77802
87,2011-02-04,25.43,25.66,24.75,25.65,9.039888
88,2011-02-07,25.59,26.87,25.59,26.42,6.198944
89,2011-02-08,26.43,27.24,26.43,26.75,7.20925
90,2011-02-09,26.54,26.7,26.3,26.62,5.116954
91,2011-02-10,26.43,26.63,26.15,26.56,7.462391
92,2011-02-11,26.3,27.46,26.3,27.29,7.880261
93,2011-02-14,27.15,27.5,26.66,26.94,4.048001
94,2011-02-15,26.86,27.72,26.7,27.19,5.734329
95,2011-02-16,27.29,27.67,26.95,27.48,5.563238
96,2011-02-17,27.19,27.62,27.16,27.45,7.435613
97,2011-02-18,27.6,27.63,26.6,26.92,4.201126
98,2011-02-22,25.52,26.05,24.29,24.44,14.692431
99,2011-02-23,23.93,24.15,21.65,22.78,23.90414
100,2011-02-24,22.95,24.6,22.42,24.11,12.29931
101,2011-02-25,24.5,24.82,23.81,23.95,7.745692
102,2011-02-28,24.16,24.56,23.85,24.04,5.144129
103,2011-03-01,23.84,23.88,22.91,23.02,8.706691
104,2011-03-02,22.87,23.51,22.45,22.51,9.233658
105,2011-03-03,23.46,23.76,22.8,23.03,10.281902
106,2011-03-04,22.67,22.87,22.05,22.26,7.8372
107,2011-03-07,22.21,23.36,22.03,23.31,11.601149
108,2011-03-08,23.22,24.94,23.22,24.78,12.428001
109,2011-03-09,24.44,24.61,23.95,24.33,6.737714
110,2011-03-10,24.04,25.48,23.91,24.95,11.481291
111,2011-03-11,24.9,25.66,24.62,24.73,6.079094
112,2011-03-14,24.46,24.71,23.8699,23.99,4.953979
113,2011-03-15,23.13,24.21,22.9,23.61,6.471359
114,2011-03-16,23.42,24.0,22.76,22.83,7.706379
115,2011-03-17,23.1,23.38,21.95,22.17,7.582222
116,2011-03-18,23.03,23.56,22.6,23.37,8.449322
117,2011-03-21,23.53,24.04,22.5,23.97,6.568691
118,2011-03-22,24.05,24.5,23.225,23.45,5.048796
119,2011-03-23,23.4,23.49,22.715,23.12,5.408965
120,2011-03-24,23.12,23.7,22.88,23.49,5.708872
121,2011-03-25,23.68,24.19,23.48,23.51,4.829492
122,2011-03-28,23.75,24.0,23.1,23.45,5.368596
123,2011-03-29,23.28,23.42,22.83,22.87,4.720915
124,2011-03-30,22.91,23.87,22.91,23.84,5.535954
125,2011-03-31,23.63,23.63,22.95,22.99,4.95707
126,2011-04-01,23.34,23.43,22.87,22.94,5.073801
127,2011-04-04,22.89,23.11,22.53,22.75,3.96656
128,2011-04-05,22.58,22.69,21.74,21.75,8.791644
129,2011-04-06,21.9,21.99,20.36,21.23,15.293128
130,2011-04-07,21.12,21.1701,20.57,21.0,7.815933
131,2011-04-08,20.9,20.9,19.32,19.79,15.960536
132,2011-04-11,19.7,20.6262,19.7,20.52,12.194174
133,2011-04-12,20.62,22.01,20.58,21.71,18.409339
134,2011-04-13,21.72,21.89,21.13,21.37,7.180659
135,2011-04-14,21.17,21.51,20.59,20.88,6.283464
136,2011-04-15,20.8,21.21,20.58,21.02,6.10754
137,2011-04-18,20.89,21.5,20.74,21.22,7.136129
138,2011-04-19,21.53,21.8,21.26,21.58,5.367084
139,2011-04-20,21.66,21.95,20.81,21.03,7.829864
140,2011-04-21,20.91,21.2,20.61,20.84,5.590816
141,2011-04-25,20.75,22.08,20.72,22.03,9.089793
142,2011-04-26,22.09,22.74,22.09,22.58,8.961609
143,2011-04-27,22.69,23.3,22.59,22.78,6.648756
144,2011-04-28,22.79,22.99,21.92,22.11,8.075667
145,2011-04-29,22.17,23.25,21.91,22.82,7.618926
146,2011-05-02,23.59,23.91,23.17,23.52,7.400554
147,2011-05-03,23.56,24.0,23.35,23.88,7.473253
148,2011-05-04,23.89,24.48,23.63,24.39,8.38306
149,2011-05-05,24.65,26.28,24.56,25.79,15.021762
150,2011-05-06,26.06,26.19,25.16,25.65,7.418338
151,2011-05-09,24.99,25.59,24.72,25.35,6.603266
152,2011-05-10,25.61,26.34,25.61,25.77,10.269259
153,2011-05-11,25.71,26.15,25.35,25.88,7.693683
154,2011-05-12,26.15,26.24,25.36,25.49,6.436556
155,2011-05-13,25.38,25.81,25.21,25.58,4.539185
156,2011-05-16,25.89,26.69,25.8,26.15,5.927694
157,2011-05-17,25.93,26.61,25.87,26.37,4.830138
158,2011-05-18,26.22,26.24,25.32,25.93,5.180646
159,2011-05-19,26.1,26.84,25.8001,26.68,7.562013
160,2011-05-20,26.72,26.77,26.241,26.5,4.554966
161,2011-05-23,26.17,26.68,26.11,26.25,4.565933
162,2011-05-24,26.31,26.39,25.59,25.71,5.093086
163,2011-05-25,25.61,26.5,24.95,25.08,7.407203
164,2011-05-26,25.09,25.18,24.38,24.64,8.19816
165,2011-05-27,24.91,24.91,23.98,24.26,7.159207
166,2011-05-31,24.175,24.43,23.82,24.15,6.581538
167,2011-06-01,24.19,24.45,23.225,23.31,5.641681
168,2011-06-02,23.43,23.75,22.93,23.04,9.045398
169,2011-06-03,22.96,23.42,22.56,22.73,5.956322
170,2011-06-06,22.92,22.94,21.8,21.99,7.451256
171,2011-06-07,22.23,22.48,21.8,21.9,5.008382
172,2011-06-08,22.33,22.89,21.795,21.9,8.303125
173,2011-06-09,21.78,22.3,21.69,21.91,4.606829
174,2011-06-10,22.01,22.4606,21.8,21.87,4.511771
175,2011-06-13,22.12,22.74,22.06,22.37,5.674551
176,2011-06-14,22.53,23.1,22.37,22.48,5.283991
177,2011-06-15,22.34,22.83,21.87,22.67,8.365196
178,2011-06-16,22.6,22.9,22.3,22.72,5.190644
179,2011-06-17,23.07,24.06,22.91,24.04,12.173347
180,2011-06-20,23.86,24.56,23.81,24.29,6.300234
181,2011-06-21,24.35,24.88,24.09,24.52,4.714767
182,2011-06-22,24.6,24.67,23.9,23.98,4.999228
183,2011-06-23,24.76,25.6,24.31,25.14,10.697948
184,2011-06-24,23.42,23.59,22.62,22.99,16.536328
185,2011-06-27,23.3,23.55,23.06,23.28,5.645809
186,2011-06-28,23.19,23.48,22.82,23.28,4.307811
187,2011-06-29,23.17,23.35,22.74,22.91,5.644314
188,2011-06-30,22.96,23.21,22.57,22.63,5.979805
189,2011-07-01,22.8,23.28,22.76,23.03,5.223716
190,2011-07-05,22.98,23.02,22.29,22.64,5.079527
191,2011-07-06,22.67,22.85,22.12,22.36,4.817683
192,2011-07-07,22.33,22.57,22.18,22.52,5.305868
193,2011-07-08,22.31,22.89,22.17,22.86,4.480203
194,2011-07-11,22.59,22.75,22.25,22.37,3.099495
195,2011-07-12,22.25,22.32,21.52,21.7,8.071753
196,2011-07-13,21.96,22.01,21.5,21.7,5.655446
197,2011-07-14,21.69,21.89,21.0,21.2,6.041398
198,2011-07-15,21.22,21.38,20.48,20.85,5.083356
199,2011-07-18,20.65,20.69,19.79,20.45,9.068474
200,2011-07-19,20.59,20.72,20.01,20.63,4.64702
201,2011-07-20,20.73,20.92,20.22,20.28,3.280464
202,2011-07-21,20.92,20.98,19.97,20.34,6.667668
203,2011-07-22,20.22,20.51,19.86,19.95,6.35845
204,2011-07-25,19.81,19.84,18.78,18.93,9.816442
205,2011-07-26,18.98,19.11,18.67,18.76,6.922807
206,2011-07-27,18.63,18.75,17.91,18.06,10.000674
207,2011-07-28,18.0,18.27,17.06,17.16,16.541786
208,2011-07-29,16.87,18.16,16.45,18.12,19.083862
209,2011-08-01,18.53,18.68,17.71,17.99,8.632523
210,2011-08-02,17.99,18.13,17.06,17.13,9.874487
211,2011-08-03,17.21,18.22,16.9,18.13,9.894735
212,2011-08-04,18.18,18.19,16.91,17.02,12.934065
213,2011-08-05,17.32,17.53,16.23,16.82,11.59977
214,2011-08-08,16.61,17.02,15.92,16.61,19.471064
215,2011-08-09,16.91,18.48,16.89,18.46,11.307949
216,2011-08-10,17.92,18.05,16.95,17.0,9.557028
217,2011-08-11,17.38,18.04,17.31,17.82,5.658463
218,2011-08-12,18.08,18.4,17.46,17.62,5.772054
219,2011-08-15,17.83,18.61,17.75,18.26,6.086658
220,2011-08-16,18.0,19.25,17.94,18.95,8.897848
221,2011-08-17,18.89,19.14,18.66,18.96,7.194637
222,2011-08-18,18.23,18.45,17.52,18.03,11.063955
223,2011-08-19,17.65,18.73,17.065,17.27,8.658531
224,2011-08-22,18.13,18.26,16.7,16.75,6.632743
225,2011-08-23,16.91,17.42,16.53,17.42,5.817519
226,2011-08-24,17.4,17.7,17.11,17.52,4.179577
227,2011-08-25,17.49,17.74,16.935,17.01,3.710466
228,2011-08-26,17.16,17.95,16.87,17.92,6.043035
229,2011-08-29,18.12,18.79,18.12,18.59,4.41558
230,2011-08-30,18.5,19.05,18.42,18.75,4.813218
231,2011-08-31,18.91,19.08,18.48,18.59,4.725652
232,2011-09-01,18.5,18.81,18.19,18.41,5.877125
233,2011-09-02,18.05,18.52,17.96,18.07,3.535442
234,2011-09-06,17.68,17.77,17.28,17.64,5.452689
235,2011-09-07,17.89,18.59,17.81,18.54,3.880272
236,2011-09-08,18.39,18.61,17.8,17.94,5.227174
237,2011-09-09,17.88,18.88,17.52,17.73,7.791669
238,2011-09-12,17.77,18.07,17.39,17.96,7.662798
239,2011-09-13,18.13,19.48,17.591,19.28,11.773415
240,2011-09-14,19.495,20.39,19.34,20.13,11.288433
241,2011-09-15,20.22,20.47,19.96,20.33,7.333756
242,2011-09-16,20.47,20.66,20.27,20.46,4.961513
