,date,open,high,low,close,volume
0,2010-01-04,27.02,27.48,26.82,27.32,39.345417
1,2010-01-05,27.27,28.24,27.24,28.07,55.422429
2,2010-01-06,28.03,28.33,27.79,28.11,33.24255
3,2010-01-07,28.12,29.43,27.92,29.13,61.659974
4,2010-01-08,28.9,29.35,28.6,28.86,35.518588
5,2010-01-11,29.09,29.17,28.58,28.8,24.393855
6,2010-01-12,28.47,28.55,27.5,28.08,39.81277
7,2010-01-13,27.99,28.76,27.8,28.58,36.723449
8,2010-01-14,28.5,29.21,28.5,28.99,31.545136
9,2010-01-15,28.82,28.9,27.88,28.08,47.260193
10,2010-01-19,27.93,28.47,27.61,28.28,40.828803
11,2010-01-20,28.02,28.65,27.7,27.82,75.721779
12,2010-01-21,27.98,28.5,27.18,28.0,90.15566
13,2010-01-22,27.97,28.41,27.17,27.26,69.511779
14,2010-01-25,27.45,28.05,27.19,27.66,48.032976
15,2010-01-26,27.45,28.35,26.92,26.99,66.598357
16,2010-01-27,26.9,28.24,26.88,28.2,63.08973
17,2010-01-28,28.28,28.77,27.72,28.45,62.112271
18,2010-01-29,28.44,29.17,28.38,28.43,88.793002
19,2010-02-01,28.6,29.09,28.51,28.93,45.244
20,2010-02-02,28.96,29.13,28.51,28.79,50.31515
21,2010-02-03,28.57,28.78,27.98,28.14,44.605407
22,2010-02-04,27.95,28.08,27.0,27.06,68.257865
23,2010-02-05,27.3,27.71,26.62,27.42,68.491704
24,2010-02-08,27.23,27.41,26.4,26.43,43.435347
25,2010-02-09,26.89,27.14,26.37,26.71,46.801735
26,2010-02-10,26.61,27.56,26.55,27.18,42.108168
27,2010-02-11,27.15,27.24,26.71,27.08,35.829714
28,2010-02-12,26.79,27.04,26.47,26.88,45.340812
29,2010-02-16,27.19,27.39,26.94,27.39,36.106047
30,2010-02-17,27.59,27.64,27.09,27.33,50.102019
31,2010-02-18,27.3,27.57,27.16,27.34,30.291525
32,2010-02-19,27.08,27.48,27.07,27.37,32.193849
33,2010-02-22,27.48,28.15,27.38,28.01,41.858696
34,2010-02-23,27.95,28.0,27.18,27.29,38.67594
35,2010-02-24,27.45,27.77,27.18,27.66,35.787387
36,2010-02-25,27.17,27.48,27.04,27.44,34.204643
37,2010-02-26,27.49,27.5,26.93,27.34,50.828918
38,2010-03-01,27.45,27.59,27.15,27.35,34.320143
39,2010-03-02,27.4,28.21,27.37,27.87,45.601179
40,2010-03-03,27.95,28.45,27.94,28.2,35.921732
41,2010-03-04,28.35,28.57,28.21,28.43,30.911533
42,2010-03-05,28.63,29.27,28.55,29.15,40.565427
43,2010-03-08,29.13,29.35,28.82,28.89,31.316635
44,2010-03-09,28.78,29.22,28.47,28.98,31.301495
45,2010-03-10,29.13,29.83,29.1,29.57,42.596052
46,2010-03-11,29.53,29.76,29.24,29.76,32.149766
47,2010-03-12,29.83,29.94,29.49,29.63,36.682503
48,2010-03-15,29.48,29.89,29.26,29.89,27.360349
49,2010-03-16,29.93,30.32,29.74,30.28,40.138632
50,2010-03-17,30.41,30.67,30.26,30.55,33.196226
51,2010-03-18,30.47,30.5641,29.85,30.29,33.986418
52,2010-03-19,30.5,30.535,29.96,30.38,53.814348
53,2010-03-22,30.09,30.59,30.05,30.41,28.601534
54,2010-03-23,30.47,31.12,30.38,31.08,39.320928
55,2010-03-24,30.84,31.28,30.67,30.86,36.193934
56,2010-03-25,31.03,31.99,30.9,31.06,47.428119
57,2010-03-26,31.21,31.77,31.0,31.22,36.085217
58,2010-03-29,31.35,31.45,30.9,31.1,25.288013
59,2010-03-30,31.1,31.3,30.8,30.84,26.944662
60,2010-03-31,30.58,31.16,30.58,31.12,28.393307
61,2010-04-01,31.4,31.6,31.13,31.37,33.045627
62,2010-04-05,31.49,31.75,31.26,31.51,30.827603
63,2010-04-06,31.36,32.39,31.35,32.28,39.506296
64,2010-04-07,32.28,32.49,31.77,31.99,34.518463
65,2010-04-08,31.79,32.41,31.56,32.23,32.20633
66,2010-04-09,32.4,32.65,31.92,32.3,27.112114
67,2010-04-12,32.4,32.7,32.27,32.42,25.113737
68,2010-04-13,32.16,32.24,31.73,32.15,38.053899
69,2010-04-14,32.46,33.42,32.35,33.28,54.448433
70,2010-04-15,33.23,33.89,33.12,33.51,47.868626
71,2010-04-16,33.21,33.25,31.66,32.56,89.854431
72,2010-04-19,32.62,33.255,32.13,33.02,54.893499
73,2010-04-20,33.19,33.89,33.0,33.69,46.812034
74,2010-04-21,32.59,34.25,32.51,33.01,96.245581
75,2010-04-22,32.7,33.72,32.56,33.58,49.769688
76,2010-04-23,33.7,33.79,33.2,33.48,31.002627
77,2010-04-26,33.36,33.45,32.5875,32.72,36.19343
78,2010-04-27,32.2,33.07,31.65,31.72,52.708639
79,2010-04-28,32.07,32.65,31.97,32.45,39.032027
80,2010-04-29,32.79,33.4,32.73,33.23,31.032961
81,2010-04-30,33.25,33.82,32.98,33.11,53.454147
82,2010-05-03,33.22,34.085,33.21,33.88,37.446644
83,2010-05-04,33.41,33.97,32.72,32.94,53.83467
84,2010-05-05,32.63,33.175,31.72,32.66,45.200306
85,2010-05-06,32.44,32.75,29.31,31.18,78.643189
86,2010-05-07,30.88,31.75,30.2,30.82,66.968124
87,2010-05-10,32.25,33.08,32.16,32.97,67.209064
88,2010-05-11,32.51,33.67,32.42,32.91,47.895031
89,2010-05-12,33.18,33.81,33.06,33.66,39.624383
90,2010-05-13,33.5,33.83,33.08,33.08,33.80261
91,2010-05-14,32.76,32.88,31.76,32.04,57.351394
92,2010-05-17,32.08,32.235,31.14,31.97,47.051144
93,2010-05-18,32.28,32.35,30.35,30.59,56.671853
94,2010-05-19,29.95,30.28,29.09,30.08,72.554578
95,2010-05-20,29.44,30.0,28.65,28.69,78.037274
96,2010-05-21,28.05,30.3,28.05,30.11,88.075693
97,2010-05-24,29.57,29.75,28.53,28.71,64.938154
98,2010-05-25,27.71,28.91,27.44,28.9,55.206808
99,2010-05-26,29.23,29.34,27.7,28.04,62.37762
100,2010-05-27,28.71,29.48,28.5,29.41,48.878312
101,2010-05-28,29.47,29.5,28.54,28.69,40.903643
102,2010-06-01,28.68,29.2,28.19,28.23,39.491944
103,2010-06-02,28.56,29.2,28.32,29.18,32.488835
104,2010-06-03,29.36,29.48,28.52,28.86,30.907623
105,2010-06-04,28.28,28.45,27.65,27.78,50.699496
106,2010-06-07,28.01,28.1133,27.26,27.29,36.926753
107,2010-06-08,27.46,27.81,26.66,27.76,47.152747
108,2010-06-09,27.95,27.96,26.9,27.03,37.999975
109,2010-06-10,27.52,28.235,27.4,28.13,41.625857
110,2010-06-11,27.74,27.95,27.35,27.84,39.470684
111,2010-06-14,27.8,27.9682,27.31,27.4,45.534438
112,2010-06-15,27.59,27.93,27.5,27.91,45.139
113,2010-06-16,27.75,28.25,27.67,28.12,28.727717
114,2010-06-17,28.1,28.19,27.53,27.93,30.741494
115,2010-06-18,28.04,28.23,27.74,28.07,39.500085
116,2010-06-21,28.44,28.5,27.79,27.94,29.909906
117,2010-06-22,28.03,28.33,27.43,27.46,33.698348
118,2010-06-23,27.38,27.76,27.15,27.32,36.033406
119,2010-06-24,27.05,27.1,26.28,26.86,66.963431
120,2010-06-25,27.15,27.61,26.85,27.05,78.983911
121,2010-06-28,27.24,27.34,26.82,27.03,31.725106
122,2010-06-29,26.57,26.66,25.79,25.93,55.573705
123,2010-06-30,26.05,26.45,25.52,25.6,37.505681
124,2010-07-01,25.54,25.94,24.6,25.18,58.950546
125,2010-07-02,25.4,25.68,24.76,24.88,32.237315
126,2010-07-06,25.46,25.635,24.79,25.15,37.260768
127,2010-07-07,25.28,26.73,25.14,26.66,48.838769
128,2010-07-08,27.06,27.06,26.1,26.64,38.246846
129,2010-07-09,26.5,27.04,26.4,27.0,24.860546
130,2010-07-12,26.93,27.13,26.56,27.06,18.76784
131,2010-07-13,27.37,28.08,27.32,27.94,31.667056
132,2010-07-14,27.7,27.78,27.25,27.66,31.313401
133,2010-07-15,27.85,28.16,27.0186,27.81,48.1265
134,2010-07-16,27.44,27.47,26.16,26.24,55.460317
135,2010-07-19,26.27,26.3993,25.6236,26.02,34.675914
136,2010-07-20,25.47,25.92,25.3,25.91,47.678759
137,2010-07-21,27.53,27.6,25.97,26.06,70.933308
138,2010-07-22,26.62,27.49,26.55,27.39,53.008887
139,2010-07-23,27.33,27.55,27.0,27.42,25.746207
140,2010-07-26,27.45,27.92,27.23,27.91,22.730858
141,2010-07-27,28.41,28.77,28.24,28.39,38.430342
142,2010-07-28,28.25,28.535,27.92,28.07,23.952245
143,2010-07-29,28.32,28.49,27.48,27.69,30.095955
144,2010-07-30,27.27,27.99,27.25,27.73,27.510277
145,2010-08-02,28.29,28.58,27.95,28.57,28.007673
146,2010-08-03,28.45,28.49,27.94,28.12,29.56078
147,2010-08-04,28.17,28.25,27.7,27.93,28.938126
148,2010-08-05,27.71,27.96,27.56,27.88,21.881571
149,2010-08-06,27.49,27.77,27.24,27.75,38.642071
150,2010-08-09,27.9,28.27,27.52,28.23,29.202838
151,2010-08-10,27.94,28.07,27.51,27.77,29.839087
152,2010-08-11,27.26,27.39,26.26,26.3,39.630736
153,2010-08-12,26.0,26.39,25.87,26.0,31.95134
154,2010-08-13,25.99,26.3,25.81,25.84,25.522168
155,2010-08-16,25.67,25.91,25.52,25.68,24.613982
156,2010-08-17,25.96,26.01,25.21,25.34,49.482328
157,2010-08-18,25.3,25.67,25.09,25.38,38.102588
158,2010-08-19,25.1,25.36,24.27,24.43,51.538173
159,2010-08-20,24.43,24.71,24.27,24.6,38.974846
160,2010-08-23,24.86,24.88,24.19,24.23,33.773267
161,2010-08-24,23.96,24.05,23.54,23.64,55.673576
162,2010-08-25,23.41,23.65,23.02,23.6,55.564794
163,2010-08-26,23.73,24.1,23.4,23.49,41.221315
164,2010-08-27,23.64,24.0,23.47,24.0,45.102847
165,2010-08-30,23.93,23.98,23.23,23.25,37.970476
166,2010-08-31,23.18,23.68,23.03,23.55,35.716724
167,2010-09-01,23.91,24.75,23.76,24.66,53.762254
168,2010-09-02,24.68,25.11,24.615,25.1,38.199451
169,2010-09-03,25.75,26.13,25.59,25.84,42.766167
170,2010-09-07,25.57,25.68,24.91,24.92,30.99012
171,2010-09-08,25.03,25.4,25.03,25.22,22.692959
172,2010-09-09,25.71,26.01,25.5,25.69,28.732546
173,2010-09-10,25.83,25.965,25.67,25.75,19.893629
174,2010-09-13,26.37,26.79,26.25,26.5,39.561238
175,2010-09-14,26.3,26.33,25.89,26.06,29.81398
176,2010-09-15,25.72,26.44,25.61,26.34,32.618837
177,2010-09-16,26.16,26.28,25.9,26.06,28.999597
178,2010-09-17,26.37,26.37,25.87,26.01,34.402319
179,2010-09-20,26.09,26.65,25.92,26.56,30.651314
180,2010-09-21,26.63,26.96,26.29,26.38,32.217905
181,2010-09-22,26.37,26.48,25.72,25.81,32.105448
